HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
Europa,0,TRAPPIST-1e,39,0,0,0,0,0,0,0
Earth,0,TRAPPIST-1e,24,0,109,9,25,549,44,1
Europa,0,TRAPPIST-1e,58,1,43,3576,0,6715,49,0
Europa,0,TRAPPIST-1e,33,0,0,1283,371,3329,193,0
Earth,0,TRAPPIST-1e,16,0,303,70,151,565,2,1
Earth,0,PSO J318.5-22,44,0,0,483,0,291,0,1
Earth,0,TRAPPIST-1e,26,0,42,1539,3,0,0,1
Earth,1,TRAPPIST-1e,28,0,0,0,0,0,,1
Earth,0,TRAPPIST-1e,35,0,0,785,17,216,0,1
Europa,1,55 Cancri e,14,0,0,0,0,0,0,1
Europa,1,TRAPPIST-1e,34,0,0,0,,0,0,1
Europa,0,55 Cancri e,45,0,39,7295,589,110,124,1
Mars,0,TRAPPIST-1e,32,0,73,0,1123,0,113,1
Earth,0,TRAPPIST-1e,48,0,719,1,65,0,24,0
Earth,0,TRAPPIST-1e,28,0,8,974,12,2,7,1
Earth,0,TRAPPIST-1e,31,0,32,0,876,0,0,0
Mars,0,55 Cancri e,27,0,1286,122,,0,0,0
Earth,0,55 Cancri e,24,0,0,1,0,0,637,0
Mars,1,TRAPPIST-1e,45,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,0,0,0,0,0,0,0,1
Earth,0,55 Cancri e,14,0,412,0,1,0,679,0
Earth,1,TRAPPIST-1e,1,0,0,0,0,0,0,0
Earth,1,55 Cancri e,49,0,0,0,0,0,0,0
Earth,1,55 Cancri e,29,0,0,0,,0,0,0
Earth,0,TRAPPIST-1e,10,0,0,0,0,0,0,1
Earth,1,PSO J318.5-22,1,0,,0,0,0,0,0
Earth,0,TRAPPIST-1e,7,0,0,0,0,0,0,0
Mars,0,TRAPPIST-1e,21,0,980,2,69,0,0,0
Europa,1,TRAPPIST-1e,62,0,0,0,,0,0,1
Earth,0,TRAPPIST-1e,15,0,0,225,0,998,0,0
Europa,0,55 Cancri e,34,0,22,6073,0,1438,328,0
Mars,0,TRAPPIST-1e,43,0,1125,0,136,48,0,0
Earth,0,TRAPPIST-1e,32,0,0,850,81,437,453,0
Mars,0,TRAPPIST-1e,47,0,214,0,1411,0,1229,1
Mars,0,TRAPPIST-1e,2,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,20,0,,0,1750,990,0,1
Europa,1,55 Cancri e,28,0,0,0,0,0,0,1
Mars,0,55 Cancri e,23,0,784,964,0,951,0,0
Earth,0,55 Cancri e,15,,0,492,48,20,401,0
Earth,0,55 Cancri e,20,0,554,195,0,2606,0,0
Earth,1,55 Cancri e,30,0,0,0,,0,0,0
Earth,1,TRAPPIST-1e,17,0,0,0,0,0,0,1
Europa,0,TRAPPIST-1e,45,0,0,164,45,2511,855,0
Earth,1,TRAPPIST-1e,55,0,0,0,0,0,0,0
Earth,1,55 Cancri e,4,0,0,0,0,0,0,1
Earth,1,PSO J318.5-22,21,0,0,0,0,0,0,1
