HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
Earth,1.0,TRAPPIST-1e,27.0,0.0,244.0,387.0,259.0,71.0,920.0,1
Europa,1.0,TRAPPIST-1e,19.0,0.0,487.0,521.0,679.0,242.0,454.0,1
Earth,1.0,PSO J318.5-22,49.0,0.0,667.0,237.0,776.0,519.0,683.0,0
Mars,0.0,TRAPPIST-1e,21.0,0.0,240.0,1286.0,695.0,866.0,24.0,0
Earth,0.0,PSO J318.5-22,22.0,0.0,48.0,870.0,847.0,908.0,674.0,0
Europa,1.0,55 Cancri e,37.0,0.0,260.0,216.0,659.0,919.0,766.0,1
Earth,0.0,TRAPPIST-1e,47.0,0.0,10.0,1232.0,1056.0,294.0,654.0,1
Earth,0.0,55 Cancri e,53.0,0.0,105.0,1154.0,125.0,456.0,1009.0,1
Europa,0.0,TRAPPIST-1e,26.0,0.0,476.0,3932.0,1127.0,124.0,2760.0,0
Mars,0.0,TRAPPIST-1e,54.0,0.0,198.0,999.0,1081.0,199.0,981.0,0
Europa,0.0,PSO J318.5-22,31.0,1.0,91.0,612.0,1056.0,564.0,2902.0,0
Earth,1.0,TRAPPIST-1e,38.0,0.0,653.0,227.0,417.0,366.0,586.0,1
Earth,0.0,TRAPPIST-1e,25.0,0.0,116.0,1053.0,2307.0,507.0,382.0,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,244.0,2769.0,229.0,926.0,979.0,0
Earth,1.0,TRAPPIST-1e,38.0,0.0,359.0,499.0,993.0,1119.0,954.0,0
Mars,0.0,TRAPPIST-1e,21.0,0.0,1334.0,150.0,1534.0,602.0,525.0,0
Europa,0.0,TRAPPIST-1e,31.0,0.0,541.0,921.0,606.0,1075.0,389.0,1
Europa,0.0,TRAPPIST-1e,35.0,0.0,2572.0,1252.0,449.0,617.0,456.0,1
Earth,1.0,TRAPPIST-1e,51.0,0.0,701.0,1466.0,488.0,394.0,317.0,1
Mars,1.0,TRAPPIST-1e,35.0,0.0,369.0,232.0,983.0,636.0,259.0,1
Europa,0.0,TRAPPIST-1e,45.0,0.0,140.0,5627.0,368.0,482.0,3877.0,0
Earth,1.0,55 Cancri e,58.0,0.0,350.0,87.0,345.0,37.0,730.0,0
