HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
Mars,0,TRAPPIST-1e,42,0,999,0,128,0,0,0
Europa,0,55 Cancri e,28,0,0,4173,0,322,0,1
Earth,0,TRAPPIST-1e,26,0,485,974,921,0,444,0
Earth,0,TRAPPIST-1e,6,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,26,0,0,666,0,0,136,0
Mars,0,PSO J318.5-22,34,1,77,0,492,0,0,1
Earth,0,TRAPPIST-1e,30,0,0,674,88,0,56,0
Earth,0,TRAPPIST-1e,48,0,0,0,0,507,1,0
Earth,1,TRAPPIST-1e,15,0,0,0,0,0,0,1
Mars,1,55 Cancri e,20,0,0,0,0,0,0,1
Europa,0,TRAPPIST-1e,30,0,0,760,0,6255,142,0
Earth,0,55 Cancri e,22,0,0,0,715,36,0,1
Earth,0,TRAPPIST-1e,29,0,25,746,6,51,687,0
Earth,0,TRAPPIST-1e,22,0,395,182,4,0,131,0
Earth,0,TRAPPIST-1e,41,0,338,896,0,0,55,0
Earth,0,TRAPPIST-1e,29,0,2478,0,0,0,0,0
Europa,0,55 Cancri e,45,0,0,7201,0,32,771,1
Europa,0,TRAPPIST-1e,48,0,313,1750,0,0,58,1
Europa,0,55 Cancri e,28,0,0,3345,111,51,1804,0
Europa,0,TRAPPIST-1e,20,0,354,36,0,3044,377,0
Europa,1,TRAPPIST-1e,47,0,0,0,0,0,0,1
Europa,0,PSO J318.5-22,25,1,2502,7570,0,3,45,1
Mars,0,55 Cancri e,3,0,0,0,0,0,0,1
Europa,0,TRAPPIST-1e,37,1,0,7139,0,0,0,1
Mars,1,TRAPPIST-1e,28,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,26,0,2832,0,189,0,0,0
Mars,1,TRAPPIST-1e,16,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,21,0,588,0,0,0,323,0
Europa,0,TRAPPIST-1e,58,0,2,734,10,0,7087,0
Earth,1,TRAPPIST-1e,0,0,0,0,0,0,0,1
Earth,1,TRAPPIST-1e,64,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,53,0,149,981,11,10,2,1
Europa,0,TRAPPIST-1e,36,0,0,244,0,5432,1924,1
Europa,0,55 Cancri e,37,0,0,439,175,78,3384,0
Earth,0,TRAPPIST-1e,18,0,0,625,0,0,10,0
Earth,0,TRAPPIST-1e,23,0,0,381,0,5,124,0
Europa,0,55 Cancri e,21,0,0,36,0,1,12143,0
Earth,0,TRAPPIST-1e,25,0,0,0,892,0,0,1
Europa,1,PSO J318.5-22,32,0,0,0,0,0,0,1
Earth,1,TRAPPIST-1e,32,0,0,0,0,0,0,1
Earth,1,TRAPPIST-1e,18,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,18,0,64,680,31,7,100,1
Europa,1,PSO J318.5-22,35,0,0,0,0,0,0,1
Europa,0,55 Cancri e,23,0,36,587,0,3835,253,0
Europa,0,TRAPPIST-1e,0,0,0,0,0,0,0,1
Earth,1,TRAPPIST-1e,49,0,0,0,0,0,0,0
Earth,0,TRAPPIST-1e,18,0,358,44,0,300,0,0
Earth,0,PSO J318.5-22,48,0,0,0,743,1107,0,0
Europa,1,TRAPPIST-1e,14,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,22,0,245,0,201,0,0,0
Earth,1,TRAPPIST-1e,39,0,0,0,0,0,0,1
Europa,0,55 Cancri e,43,0,0,4322,0,183,517,1
Earth,1,55 Cancri e,31,0,0,0,0,0,0,0
Earth,1,55 Cancri e,19,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,24,0,34,223,0,267,594,1
Earth,0,TRAPPIST-1e,24,0,13,0,0,0,848,0
Earth,0,TRAPPIST-1e,21,0,0,541,10,188,0,0
Mars,1,TRAPPIST-1e,18,0,0,0,0,0,0,1
Mars,1,TRAPPIST-1e,31,0,0,0,0,0,0,1
Earth,1,TRAPPIST-1e,2,0,0,0,0,0,0,0
Mars,0,TRAPPIST-1e,19,0,2058,0,216,298,0,0
Mars,0,PSO J318.5-22,71,0,799,2,1698,0,0,0
Mars,0,TRAPPIST-1e,14,0,1737,5,2614,141,17,0
Earth,0,PSO J318.5-22,22,0,431,0,37,0,86,0
Mars,0,55 Cancri e,23,0,612,43,501,210,39,1
Europa,1,55 Cancri e,50,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,20,0,0,880,0,10,15,0
Earth,0,55 Cancri e,24,0,13,71,0,2838,0,0
Earth,0,TRAPPIST-1e,40,0,51,0,895,88,0,1
Europa,0,TRAPPIST-1e,37,0,2,2223,863,1,18,1
Europa,1,TRAPPIST-1e,31,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,10,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,41,0,169,7,3958,0,0,1
Mars,0,TRAPPIST-1e,23,0,1862,0,0,0,0,0
Earth,0,TRAPPIST-1e,28,0,145,0,0,107,693,0
Earth,0,TRAPPIST-1e,23,0,0,0,2102,77,117,1
Europa,0,TRAPPIST-1e,26,0,0,137,0,3348,9,0
Earth,0,TRAPPIST-1e,30,0,0,0,871,0,14,1
Earth,0,TRAPPIST-1e,44,0,358,0,0,0,0,1
Mars,0,TRAPPIST-1e,32,0,598,0,145,659,0,0
Earth,0,PSO J318.5-22,42,0,0,168,0,0,461,0
Europa,1,TRAPPIST-1e,28,0,0,0,0,0,0,1
Earth,1,55 Cancri e,22,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,0,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,45,0,198,0,21,638,104,0
Earth,0,55 Cancri e,18,0,749,0,74,0,0,0
Earth,1,TRAPPIST-1e,56,0,0,0,0,0,0,1
Earth,0,55 Cancri e,14,0,590,145,0,140,0,0
Mars,0,PSO J318.5-22,26,1,4,0,384,572,0,1
Earth,0,TRAPPIST-1e,45,0,0,0,734,2,104,1
Mars,1,55 Cancri e,20,0,0,0,0,0,0,1
Earth,0,55 Cancri e,41,0,0,33,551,5577,43,0
Europa,1,TRAPPIST-1e,44,0,0,0,0,0,0,1
Europa,1,55 Cancri e,22,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,21,0,3,796,0,0,0,1
Earth,0,PSO J318.5-22,30,0,231,0,0,0,1916,0
Europa,0,55 Cancri e,41,0,0,1320,0,1756,51,1
Mars,0,TRAPPIST-1e,49,1,435,0,867,136,308,0
Earth,0,TRAPPIST-1e,46,0,0,0,0,0,1164,1
Earth,1,TRAPPIST-1e,24,0,0,0,0,0,0,1
Mars,1,TRAPPIST-1e,40,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,29,0,0,773,0,51,0,0
Earth,0,TRAPPIST-1e,4,0,0,0,0,0,0,0
Earth,0,TRAPPIST-1e,1,0,0,0,0,0,0,0
Earth,0,TRAPPIST-1e,25,0,1339,0,8,1109,0,0
Earth,1,55 Cancri e,21,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,14,0,0,0,1441,2,190,1
Europa,1,55 Cancri e,50,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,33,0,0,3,1,0,2330,0
Europa,0,PSO J318.5-22,38,1,0,5212,1,118,9654,0
Mars,0,TRAPPIST-1e,36,0,2002,0,0,112,0,0
Earth,0,TRAPPIST-1e,30,0,59,0,444,435,0,0
Earth,1,TRAPPIST-1e,8,0,0,0,0,0,0,0
Earth,1,TRAPPIST-1e,45,0,0,0,0,0,0,0
Earth,1,55 Cancri e,43,0,0,0,0,0,0,0
Europa,0,55 Cancri e,31,0,139,26830,31,1159,20336,0
Europa,0,PSO J318.5-22,36,1,2,196,64,1,1407,0
Mars,0,TRAPPIST-1e,19,0,3332,1234,31,781,0,0
Europa,0,TRAPPIST-1e,31,0,22,104,756,5132,5416,0
Mars,0,TRAPPIST-1e,13,0,1119,852,136,0,0,0
Mars,0,55 Cancri e,24,0,1410,0,50,0,9,0
Earth,1,TRAPPIST-1e,56,0,0,0,0,0,0,0
Earth,0,TRAPPIST-1e,55,0,1104,0,1357,0,0,0
Earth,0,TRAPPIST-1e,12,0,0,0,0,0,0,0
Mars,1,TRAPPIST-1e,18,0,0,0,0,0,0,1
Europa,0,TRAPPIST-1e,15,0,0,2002,0,96,1244,0
Earth,1,TRAPPIST-1e,41,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,26,0,866,0,0,0,5,1
Earth,1,TRAPPIST-1e,37,0,0,0,0,0,0,1
Europa,0,TRAPPIST-1e,38,0,0,3135,0,197,2325,0
Earth,0,TRAPPIST-1e,18,0,852,0,0,0,0,0
Earth,1,TRAPPIST-1e,2,0,0,0,0,0,0,1
Earth,1,55 Cancri e,16,0,0,0,0,0,0,1
Earth,0,TRAPPIST-1e,24,0,185,12,1,622,0,0
Europa,0,TRAPPIST-1e,33,0,0,0,1,0,0,0
Earth,1,TRAPPIST-1e,36,0,0,0,0,0,0,0
Europa,0,TRAPPIST-1e,49,0,0,104,7148,122,80,0
Earth,1,TRAPPIST-1e,15,0,0,0,0,0,0,1
Earth,1,55 Cancri e,23,0,0,0,0,0,0,1
Earth,0,PSO J318.5-22,26,0,0,0,0,1606,110,0
Mars,0,55 Cancri e,4,0,0,0,0,0,0,1
Earth,1,TRAPPIST-1e,24,0,0,0,0,0,0,1
Mars,0,TRAPPIST-1e,24,0,261,0,627,22,0,0
Europa,1,TRAPPIST-1e,17,0,0,0,0,0,0,1
Mars,1,TRAPPIST-1e,16,0,0,0,0,0,0,1
Europa,0,TRAPPIST-1e,37,0,33,2478,0,184,15,1
Earth,0,TRAPPIST-1e,23,0,0,30,165,681,0,0
Earth,0,TRAPPIST-1e,21,0,17,27,1110,0,0,0
Mars,0,TRAPPIST-1e,50,0,748,0,686,520,0,0
Europa,0,TRAPPIST-1e,24,0,9,2148,0,2809,1674,0
Earth,0,55 Cancri e,44,0,26,809,0,0,5,0
