fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.3,0.165,0.23,2.9,0.051,22.0,77.0,0.9918,3.44,0.55,10.4,6
6.6,0.21,0.39,1.8,0.036,29.0,148.0,0.99183,3.35,0.62,10.2,6
6.1,0.34,0.46,1.4,0.029,29.0,122.0,0.988245,3.46,0.5,12.5,7
5.9,0.14,0.3,1.2,0.04,30.0,92.0,0.98711,3.48,0.56,10.3,6
6.9,0.22,0.49,7.0,0.046,50.0,151.0,0.9968,3.16,0.59,12.2,6
3.9,0.455,0.1,1.9,0.024,31.0,160.0,0.9895,3.46,0.77,9.9,5
6.7,0.42,0.34,8.9,0.049,29.0,150.0,0.99594,3.28,0.5,11.35,5
8.6,0.16,0.42,1.0,0.04,17.0,84.0,0.9925,3.05,0.35,10.3,6
6.3,0.26,0.29,13.7,0.039,69.0,223.0,0.9979,3.14,0.77,9.5,6
7.8,0.26,0.58,11.2,0.041,29.0,159.0,0.9977,3.24,0.46,8.7,6
6.7,0.24,0.29,7.1,0.041,38.0,162.0,0.9932,3.32,0.6,11.3,6
6.3,0.27,0.37,7.9,0.044,54.0,217.0,0.9958,3.69,0.43,12.3,8
6.6,0.35,0.52,11.3,0.06,27.0,142.0,0.9967,3.08,0.44,9.1,5
6.5,0.26,0.34,15.7,0.053,49.0,197.0,0.9982,3.4,0.54,9.7,5
6.4,0.27,0.19,7.7,0.044,21.0,145.0,0.99486,3.29,0.32,10.9,7
8.8,0.2,0.43,1.2,0.04,11.0,122.0,0.9953,3.12,0.45,12.8,6
6.0,0.33,0.2,6.4,0.031,18.0,87.0,0.9913,2.9,0.51,10.4,6
8.8,0.35,0.39,1.2,0.042,17.0,59.0,0.9922,2.9,0.48,12.6,6
7.4,0.155,0.49,1.4,0.043,12.0,114.0,0.9917,3.0,0.44,11.2,6
7.9,0.26,0.27,1.2,0.026,20.0,100.0,0.99117,2.99,0.4,10.5,6
7.8,0.16,0.49,7.9,0.038,47.0,129.5,0.9934,2.96,0.41,10.0,6
5.6,0.19,0.46,6.2,0.029,26.0,97.0,0.9936,3.24,0.55,12.0,7
6.7,0.15,0.29,2.5,0.026,13.0,82.0,0.9928,3.09,0.6,11.3,7
