V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,Class
0.0,0.0,0.0,0.078125,0.091797,0.0,0.0,0.005859,0.009766,0.011719,0.009766,0.009766,0.003906,0.001953,0.033203,0.0,0.025391,0.005859,0.027344,0.007812,0.007812,0.0,0.0,0.0,0.003906,0.037109,0.0,0.070312,0.019531,0.056641,0.001953,0.001953,0.015625,0.001953,0.005859,0.007812,0.0,0.070312,0.044922,0.03125,0.068359,0.041016,0.003906,0.048828,0.027344,0.021484,0.027344,0.0,0.011719,0.0,0.007812,0.0,0.0625,0.03125,0.0,0.001953,0.015625,0.017578,0.048828,0.029297,0.0,0.0,0.0,0.0,14
0.015625,0.011719,0.044922,0.011719,0.021484,0.011719,0.029297,0.0,0.005859,0.015625,0.007812,0.007812,0.052734,0.0,0.013672,0.0,0.011719,0.011719,0.011719,0.019531,0.027344,0.0,0.0,0.003906,0.0,0.007812,0.0,0.015625,0.039062,0.03125,0.003906,0.0,0.015625,0.001953,0.013672,0.021484,0.033203,0.044922,0.027344,0.005859,0.007812,0.001953,0.003906,0.017578,0.005859,0.013672,0.03125,0.072266,0.0,0.011719,0.017578,0.0,0.039062,0.003906,0.10547,0.0,0.011719,0.0,0.035156,0.011719,0.0,0.0,0.050781,0.001953,64
0.0,0.0,0.003906,0.003906,0.019531,0.0,0.011719,0.0,0.0,0.001953,0.0,0.029297,0.0,0.044922,0.023438,0.0,0.007812,0.003906,0.0,0.001953,0.058594,0.029297,0.0,0.060547,0.035156,0.007812,0.046875,0.013672,0.005859,0.007812,0.021484,0.011719,0.013672,0.007812,0.0,0.005859,0.005859,0.044922,0.027344,0.029297,0.007812,0.001953,0.082031,0.011719,0.007812,0.027344,0.046875,0.048828,0.005859,0.066406,0.007812,0.023438,0.0625,0.013672,0.017578,0.029297,0.001953,0.0,0.007812,0.0,0.001953,0.041016,0.0,0.023438,47
0.017578,0.003906,0.068359,0.005859,0.007812,0.013672,0.070312,0.0,0.0,0.039062,0.005859,0.007812,0.070312,0.001953,0.017578,0.0,0.023438,0.007812,0.021484,0.021484,0.021484,0.0,0.0,0.003906,0.003906,0.021484,0.0,0.003906,0.013672,0.005859,0.001953,0.0,0.025391,0.0,0.007812,0.003906,0.013672,0.050781,0.03125,0.003906,0.0,0.039062,0.011719,0.019531,0.013672,0.001953,0.033203,0.091797,0.0,0.017578,0.017578,0.001953,0.027344,0.0,0.12109,0.005859,0.011719,0.003906,0.017578,0.009766,0.0,0.0,0.044922,0.0,54
0.039062,0.078125,0.003906,0.0,0.0,0.14258,0.023438,0.0,0.0,0.041016,0.070312,0.0,0.095703,0.0,0.0,0.0,0.042969,0.023438,0.001953,0.015625,0.003906,0.0,0.001953,0.0,0.0,0.009766,0.0,0.001953,0.013672,0.005859,0.0,0.0,0.021484,0.0,0.039062,0.046875,0.009766,0.009766,0.0,0.001953,0.0,0.023438,0.0,0.001953,0.003906,0.0,0.005859,0.0,0.0,0.011719,0.074219,0.001953,0.029297,0.0,0.001953,0.001953,0.021484,0.037109,0.003906,0.011719,0.0,0.0,0.054688,0.0,19
0.011719,0.029297,0.048828,0.001953,0.007812,0.044922,0.0625,0.0,0.0,0.019531,0.011719,0.003906,0.044922,0.0,0.017578,0.0,0.017578,0.013672,0.021484,0.009766,0.009766,0.001953,0.0,0.0,0.0,0.027344,0.0,0.013672,0.005859,0.007812,0.0,0.0,0.029297,0.001953,0.03125,0.001953,0.021484,0.021484,0.013672,0.001953,0.0,0.025391,0.005859,0.011719,0.005859,0.007812,0.019531,0.058594,0.0,0.0,0.039062,0.0,0.076172,0.0,0.087891,0.0,0.001953,0.007812,0.017578,0.0,0.0,0.0,0.029297,0.0,44
0.015625,0.003906,0.070312,0.001953,0.019531,0.015625,0.0625,0.0,0.0,0.039062,0.005859,0.0,0.013672,0.0,0.003906,0.013672,0.050781,0.013672,0.027344,0.013672,0.017578,0.003906,0.0,0.011719,0.0,0.039062,0.0,0.025391,0.023438,0.025391,0.001953,0.001953,0.029297,0.0,0.009766,0.009766,0.029297,0.011719,0.001953,0.005859,0.003906,0.007812,0.0,0.005859,0.009766,0.007812,0.021484,0.013672,0.0,0.007812,0.015625,0.001953,0.035156,0.001953,0.044922,0.0,0.023438,0.007812,0.023438,0.011719,0.0,0.0,0.033203,0.0,50
0.011719,0.007812,0.03125,0.019531,0.009766,0.007812,0.056641,0.0,0.007812,0.042969,0.009766,0.005859,0.011719,0.001953,0.011719,0.0,0.013672,0.011719,0.015625,0.023438,0.003906,0.001953,0.0,0.003906,0.0,0.021484,0.0,0.019531,0.039062,0.013672,0.0,0.0,0.007812,0.0,0.001953,0.027344,0.023438,0.025391,0.015625,0.015625,0.001953,0.021484,0.011719,0.007812,0.009766,0.005859,0.017578,0.035156,0.0,0.005859,0.027344,0.001953,0.070312,0.0,0.054688,0.001953,0.023438,0.027344,0.039062,0.009766,0.0,0.0,0.03125,0.0,29
0.064453,0.12109,0.029297,0.003906,0.001953,0.066406,0.005859,0.0,0.0,0.019531,0.056641,0.001953,0.085938,0.0,0.0,0.0,0.03125,0.019531,0.011719,0.017578,0.005859,0.0,0.0,0.0,0.0,0.011719,0.0,0.001953,0.044922,0.0,0.0,0.0,0.039062,0.001953,0.039062,0.037109,0.013672,0.005859,0.0,0.0,0.0,0.037109,0.009766,0.005859,0.007812,0.0,0.005859,0.003906,0.0,0.0,0.060547,0.0,0.005859,0.0,0.0,0.0,0.009766,0.041016,0.027344,0.027344,0.0,0.0,0.027344,0.0,71
0.003906,0.003906,0.021484,0.005859,0.013672,0.007812,0.005859,0.005859,0.0,0.007812,0.009766,0.035156,0.013672,0.058594,0.015625,0.0,0.003906,0.005859,0.0,0.001953,0.095703,0.044922,0.005859,0.007812,0.082031,0.009766,0.041016,0.011719,0.005859,0.003906,0.027344,0.068359,0.009766,0.007812,0.007812,0.003906,0.001953,0.037109,0.013672,0.03125,0.039062,0.0,0.066406,0.007812,0.003906,0.011719,0.060547,0.037109,0.041016,0.041016,0.011719,0.035156,0.011719,0.029297,0.001953,0.044922,0.003906,0.005859,0.007812,0.009766,0.005859,0.042969,0.005859,0.074219,45
