V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,Class
0.033203,0.039062,0.068359,0.007812,0.009766,0.082031,0.015625,0.0,0.001953,0.03125,0.029297,0.003906,0.054688,0.0,0.017578,0.0,0.025391,0.007812,0.019531,0.013672,0.009766,0.0,0.0,0.0,0.0,0.019531,0.001953,0.009766,0.003906,0.005859,0.0,0.0,0.019531,0.007812,0.033203,0.003906,0.021484,0.056641,0.021484,0.003906,0.0,0.015625,0.009766,0.007812,0.011719,0.005859,0.03125,0.044922,0.0,0.0,0.021484,0.0,0.027344,0.0,0.03125,0.0,0.019531,0.021484,0.019531,0.011719,0.0,0.0,0.041016,0.0,28
0.056641,0.091797,0.007812,0.005859,0.001953,0.091797,0.076172,0.0,0.0,0.052734,0.070312,0.0,0.025391,0.0,0.0,0.0,0.035156,0.019531,0.003906,0.019531,0.005859,0.001953,0.0,0.005859,0.0,0.017578,0.0,0.001953,0.011719,0.0,0.001953,0.0,0.044922,0.0,0.035156,0.029297,0.003906,0.005859,0.0,0.0,0.0,0.046875,0.0,0.003906,0.011719,0.0,0.003906,0.0,0.0,0.0,0.058594,0.0,0.027344,0.0,0.021484,0.001953,0.011719,0.033203,0.011719,0.023438,0.0,0.003906,0.015625,0.0,17
0.0,0.0,0.011719,0.029297,0.015625,0.0,0.0,0.0,0.054688,0.0,0.001953,0.011719,0.0,0.048828,0.007812,0.0,0.0,0.003906,0.021484,0.0,0.021484,0.023438,0.0,0.035156,0.044922,0.011719,0.037109,0.019531,0.005859,0.001953,0.042969,0.054688,0.001953,0.001953,0.0,0.0,0.003906,0.017578,0.0,0.007812,0.027344,0.005859,0.0,0.011719,0.0,0.013672,0.019531,0.0,0.076172,0.037109,0.0,0.060547,0.003906,0.029297,0.0,0.003906,0.0,0.003906,0.037109,0.007812,0.007812,0.037109,0.003906,0.074219,4
0.001953,0.001953,0.027344,0.027344,0.025391,0.0,0.011719,0.005859,0.017578,0.009766,0.001953,0.029297,0.001953,0.009766,0.0625,0.0,0.009766,0.003906,0.005859,0.001953,0.029297,0.017578,0.0,0.021484,0.013672,0.023438,0.005859,0.029297,0.007812,0.042969,0.021484,0.015625,0.005859,0.005859,0.001953,0.003906,0.019531,0.03125,0.048828,0.015625,0.009766,0.013672,0.013672,0.017578,0.005859,0.021484,0.052734,0.03125,0.017578,0.021484,0.005859,0.0,0.03125,0.015625,0.03125,0.015625,0.007812,0.001953,0.027344,0.017578,0.001953,0.007812,0.007812,0.005859,90
0.072266,0.089844,0.037109,0.003906,0.001953,0.068359,0.005859,0.0,0.005859,0.019531,0.076172,0.001953,0.091797,0.001953,0.001953,0.0,0.029297,0.025391,0.017578,0.021484,0.003906,0.0,0.0,0.0,0.0,0.009766,0.0,0.003906,0.025391,0.003906,0.001953,0.0,0.033203,0.0,0.029297,0.041016,0.005859,0.005859,0.003906,0.0,0.0,0.035156,0.007812,0.001953,0.033203,0.001953,0.011719,0.001953,0.0,0.0,0.044922,0.0,0.005859,0.0,0.0,0.0,0.009766,0.035156,0.035156,0.011719,0.0,0.0,0.021484,0.001953,56
0.003906,0.0,0.005859,0.009766,0.046875,0.0,0.017578,0.0,0.007812,0.005859,0.0,0.03125,0.0,0.019531,0.037109,0.0,0.003906,0.001953,0.009766,0.009766,0.021484,0.033203,0.0,0.001953,0.021484,0.015625,0.029297,0.033203,0.007812,0.013672,0.050781,0.044922,0.005859,0.0,0.001953,0.001953,0.015625,0.033203,0.027344,0.013672,0.027344,0.001953,0.011719,0.021484,0.007812,0.041016,0.046875,0.033203,0.037109,0.023438,0.0,0.0,0.052734,0.025391,0.019531,0.009766,0.011719,0.001953,0.005859,0.017578,0.0,0.017578,0.0,0.001953,98
0.025391,0.042969,0.025391,0.033203,0.001953,0.033203,0.011719,0.0,0.001953,0.021484,0.037109,0.003906,0.066406,0.001953,0.005859,0.0,0.027344,0.048828,0.017578,0.019531,0.005859,0.003906,0.0,0.0,0.0,0.013672,0.0,0.007812,0.054688,0.005859,0.0,0.0,0.023438,0.0,0.035156,0.023438,0.015625,0.003906,0.007812,0.003906,0.003906,0.046875,0.001953,0.003906,0.03125,0.003906,0.007812,0.003906,0.0,0.001953,0.035156,0.003906,0.029297,0.001953,0.023438,0.0,0.011719,0.050781,0.056641,0.013672,0.0,0.003906,0.025391,0.007812,78
0.005859,0.007812,0.064453,0.003906,0.019531,0.009766,0.005859,0.0,0.011719,0.005859,0.001953,0.015625,0.021484,0.035156,0.03125,0.0,0.003906,0.013672,0.003906,0.005859,0.041016,0.021484,0.0,0.0,0.037109,0.009766,0.037109,0.005859,0.017578,0.019531,0.033203,0.039062,0.001953,0.0,0.007812,0.001953,0.009766,0.0625,0.023438,0.007812,0.005859,0.003906,0.011719,0.017578,0.011719,0.015625,0.060547,0.019531,0.035156,0.029297,0.007812,0.011719,0.019531,0.015625,0.0,0.003906,0.005859,0.011719,0.023438,0.0,0.0,0.017578,0.013672,0.013672,8
0.021484,0.037109,0.015625,0.056641,0.0,0.10938,0.0,0.0,0.013672,0.003906,0.050781,0.0,0.041016,0.001953,0.0,0.0,0.007812,0.052734,0.001953,0.007812,0.0,0.0,0.0,0.0,0.001953,0.007812,0.001953,0.001953,0.058594,0.029297,0.0,0.0,0.033203,0.0,0.003906,0.025391,0.013672,0.001953,0.0,0.0,0.005859,0.027344,0.0,0.007812,0.11719,0.0,0.0,0.001953,0.0,0.0,0.033203,0.0,0.0,0.0,0.0,0.0,0.011719,0.10938,0.039062,0.007812,0.0,0.0,0.037109,0.0,25
0.041016,0.099609,0.007812,0.0,0.0,0.18945,0.011719,0.0,0.011719,0.03125,0.068359,0.0,0.11914,0.003906,0.0,0.0,0.005859,0.025391,0.003906,0.007812,0.009766,0.0,0.0,0.0,0.001953,0.003906,0.0,0.001953,0.015625,0.0,0.0,0.0,0.015625,0.0,0.035156,0.060547,0.007812,0.011719,0.0,0.0,0.0,0.019531,0.0,0.0,0.017578,0.0,0.009766,0.0,0.001953,0.0,0.091797,0.0,0.001953,0.0,0.0,0.0,0.003906,0.039062,0.001953,0.001953,0.0,0.0,0.015625,0.003906,37
