V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,Class
397,263,281291,162995,1913,191,323,25678,73,125,1561,0,1,78,0.0709487399819187,0.2496398715265824,0.906130101326848,0.05246539464138168,0.6374657281637335,0,0,3.771988093027744,1.3338461722301571,2.0677796600724125,0.35844661748423845,-0.22335029536215206,0.9887837678849881,0,0,0,0,0,1,1
1338,1269,716053,2992999,237,26,17,20884,87,118,1682,1,0,75,0.2376281316325445,0.169317651521115,0.6801181247403811,0.010117510959978485,0.8323784993701014,1,1,2.2023584354388497,1.0846181058763604,1.0311121266762064,-0.652412140843154,-0.1818906144482299,0.39660878254422266,0,0,0,0,0,0,2
524,655,830318,1091535,220,46,25,8099,122,142,1356,0,1,188,0.7511484986051604,0.4904030420261397,0.9008271188510277,0.014049764718865428,0.5873555261620792,0,1,1.5032076337932325,1.108265890113386,1.4485859953781468,-0.009794413711619385,-0.0014608443784983952,0.674300059165836,0,0,0,0,0,0,1
1103,1443,1934880,1852032,110,20,11,250,92,124,1681,0,1,41,0.019582492247615817,0.18870714656416138,0.8220408338801966,0.003481361581542058,0.5347827004095547,1,1,1.899369359175701,0.7861325943296438,1.0839557694297917,0.25553483907044455,-0.0715438524811528,0.25769818792740834,0,0,0,0,0,0,1
1379,1173,130151,77638,135,42,12,8114,172,206,1393,0,1,99,0.5502195109241156,0.5235820500634419,0.3430375028887099,0.025453840032492403,0.8579399944114804,0,0,1.9315838932230678,1.1137365995605977,0.8383902967264394,-0.581292485556912,0.30309333825222057,0.30775369946520503,0,0,0,0,0,0,2
148,357,1511991,726404,5396,263,103,173141,29,125,1365,0,1,42,0.09363156650494037,0.4915413564711248,0.413343785866919,0.11060416917474916,0.0645,0,1,3.3324775254181436,1.1382848172183635,1.7595681196103574,-0.459503395077165,-0.2605323818616949,1.0,0,0,1,0,0,0,1
82,265,2047753,1150770,1841,770,443,157517,28,149,1339,1,0,75,0.032813684998272384,0.49269116422020653,0.9589465531639347,0.02068348351300937,0.13280587544460612,0,1,3.589082138837966,1.4528763077465572,2.171967733319694,0.07143303820772846,-0.0639810573899439,0.9772434179224652,0,1,0,0,0,0,1
520,598,250524,303592,87,14,1,250,110,141,1359,0,1,61,0.736076056425873,0.36973036842964013,0.9771760095266535,0.006518078920382962,0.5257661495700374,0,0,1.5034496920633633,0.8926931889012327,0.9492210203633203,0.08543040576390723,-0.3198440537795073,0.13280013164562002,1,0,0,0,0,0,1
276,255,3147040,3519212,316,84,40,26453,75,133,1358,0,1,203,0.38921796691322885,0.4303376085153058,0.6157748768658563,0.0212136505952705,0.4116177690018409,0,0,2.3287905010262175,1.4415346038476413,1.4076490894736782,0.6746199847469799,-0.2501310572210169,0.9903152762025612,0,0,0,0,0,0,2
429,1628,190701,241830,3010,126,59,46994,81,124,1364,1,1,245,0.2878007207709256,0.4731812905202177,0.3112893891080297,0.015329737560729865,0.22927098338334742,0,1,2.180666101812809,1.1804307159937002,1.7453886880898952,0.7138499208750265,-0.24182224031450056,0.9794219953621902,0,0,0,0,0,0,2
693,966,135461,270687,163,28,19,3538,171,192,1357,0,1,44,0.8385759737995565,0.375012277195281,0.6117796854661,0.009936149413413874,0.6757396555267534,1,1,1.7823202638327817,1.1017247089525328,1.0612253976356683,0.4817613007069207,-0.11099332518842123,0.19884347633425406,0,0,0,0,0,0,2
207,149,893790,853868,197,46,19,9133,117,142,1358,0,1,42,0.13864386506240534,0.516738692132102,0.788226601866669,0.012682168717976824,0.47210565330790827,0,0,2.1007835121597407,1.46626831176707,1.0928069554618547,-0.052234061133103235,-0.03945386663677393,0.36109289995144833,0,0,0,0,0,0,2
1583,1694,3110904,2936761,74,21,10,2217,93,125,1670,1,0,103,0.8807391425098089,0.1977487252872365,0.9369757761281412,0.008840754272631946,0.5306955612117916,1,1,1.7757944017455594,0.9907104969176177,1.0548092415426713,-0.06580783194861863,-0.1271876823166352,0.22885326605568326,0,0,0,0,0,1,1
381,455,967858,3157517,138,20,16,7258,90,127,1358,0,1,40,0.8610451761651369,0.19939963217507234,0.8025568390965738,0.008335938255896465,0.5054393365412347,1,1,1.9005573780561682,0.8649419438809998,1.4759375626807487,0.30725374739329525,-0.21036477059321562,0.28055421039306205,0,0,0,0,0,1,1
72,236,850179,858771,1773,912,410,307363,28,132,1394,0,1,202,0.015092202556347072,0.4175062448662371,0.9537301709870616,0.13127926027283873,0.16341767306649368,0,1,3.664414488350497,1.5729540296956368,2.1882139008029564,0.08301896623998493,-0.14077789688423542,0.986576273358585,0,0,1,0,0,0,1
67,1145,913517,3719317,180,29,22,20003,87,126,1665,1,0,76,0.030611433077025643,0.2607145034818318,0.366095641797478,0.008618801921111391,0.4675316297230633,1,0,2.3055019892317374,0.9274462869903879,1.2441110042909038,-0.6368042137301503,-0.09185989509138061,0.4213194346814843,0,0,0,0,0,1,1
91,72,754176,3196027,94,27,18,3207,44,93,1672,1,0,60,0.014724534889564718,0.21220718954537604,0.6049279580163979,0.007193016538534111,0.5301314343311788,1,1,1.1746199326586848,0.9928572420258689,1.1347525134855982,0.7370439559601009,-0.2213098890358886,0.19345317250905633,0,0,0,0,0,0,1
47,363,1268017,1300219,13463,965,442,1258416,26,141,1398,0,1,42,0.02797752451292238,0.3528345758148747,0.9425341903324116,0.12287890558416394,0.0645,0,0,3.9505082098243114,2.1259378355332665,2.259501546722312,-0.2329305062107935,-0.12144731350645838,0.9914337348009106,0,0,1,0,0,0,1
1666,1694,21488,6724,198,42,25,4339,136,124,1354,0,1,185,0.03865394902414,0.17459084895797022,0.39892229319268585,0.007752571376289444,0.0645,1,1,2.069061391585212,0.7627694692173007,1.2595656956736747,0.7353577919431182,-0.27224543155696457,0.3127648345614262,0,0,0,0,0,0,2
1329,1694,2091476,2139466,147,50,20,6299,121,143,1663,1,0,43,0.40787040051715834,0.5905776143794698,0.4163181127342252,0.4113801925658571,0.8632006689557234,0,0,1.9214837476821693,1.7054346175077706,1.039016613401786,-0.6508607579093629,-0.0006010068723183316,0.40454451125017143,0,0,0,0,0,0,2
93,261,202963,183215,105,45,14,1737,114,148,1358,1,0,84,0.29884049162407667,0.4593039990401935,0.650683130761687,0.02052719417112462,0.5827609628925539,0,0,1.7876801436841685,1.4988905368909438,1.056392581569843,-0.594709306651731,-0.07846355918862541,0.39038055150790013,0,0,0,0,0,0,1
1320,1439,90146,146165,413,46,32,27561,121,142,1357,0,1,44,0.16017737465148912,0.45699372772564784,0.4927307394570886,0.013807111070191138,0.4084041237461142,0,0,2.6305444071564086,1.516558646853835,1.3967843717770754,0.49690768491886683,-0.05558159748867144,0.7845690237675198,0,0,0,0,0,0,2
