V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,Class
39,190,2215354,2215404,4881,257,133,513464,38,135,1376,0,1,40,0.0574,0.4818,0.5,0.1057,0.6762,0,0,3.666,2.1584,1.8451,-0.506,-0.169,1.0,0,0,1,0,0,0,1
39,212,2364667,2364730,6381,286,145,669129,45,127,1358,0,1,40,0.0573,0.4441,0.3646,0.1274,0.5836,0,0,3.806,2.2355,1.7924,-0.6331,-0.1808,1.0,0,0,1,0,0,0,1
165,194,387402,387414,114,11,11,11169,82,115,1656,1,0,70,0.2324,0.36,0.9167,0.0059,1.0,1,1,2.0569,1.0,1.0414,0.085,-0.2206,0.2901,0,0,0,0,0,1,1
349,373,1115618,1115654,270,42,42,24547,84,125,1364,0,1,40,0.5059,0.459,0.5152,0.0117,0.3617,0,1,2.4265,1.2041,1.5682,0.4848,-0.2463,0.8153,0,0,0,0,0,0,2
1578,1591,72307,72355,762,63,101,71130,80,125,1698,0,1,90,0.1102,0.6213,0.0714,0.0083,0.2121,0,1,2.8965,1.1461,1.9685,0.9267,-0.1841,0.9995,1,0,0,0,0,0,1
154,180,673270,673281,206,37,18,20512,80,118,1392,1,0,120,0.2194,0.4776,1.0,0.0169,0.8095,0,0,2.3096,1.3617,1.2305,0.0,-0.2759,0.6839,0,0,0,0,0,1,1
413,417,4025551,4025564,4307,231,253,491662,92,124,1356,1,0,200,0.5794,0.6698,0.1274,0.0274,0.1191,0,1,3.6437,1.5682,2.2945,0.8757,-0.2081,1.0,0,0,0,0,0,1,1
681,705,697863,697905,55,12,14,7211,116,140,1354,0,1,40,0.9764,0.4545,0.6,0.0081,0.6,0,1,1.7404,1.0414,0.9542,0.4,-0.0366,0.2061,0,0,0,0,0,0,2
1088,1098,80993,80996,9,3,3,718,90,117,1362,0,1,50,0.4976,0.3265,0.8889,0.0024,1.0,1,0,1.0792,0.6021,0.6021,-0.1154,-0.2127,0.1262,0,0,0,1,0,0,1
38,210,2449833,2449893,5828,219,110,626007,43,127,1358,0,1,40,0.0575,0.4571,0.386,0.1254,0.7534,0,0,3.7647,2.233,1.8195,-0.6114,-0.1694,1.0,0,0,1,0,0,0,1
1125,1133,1207379,1207406,32,9,6,3576,95,109,1356,1,0,120,0.3137,0.2381,0.8889,0.0044,0.8571,1,0,1.5185,0.7782,0.7782,-0.1111,-0.2421,0.1622,0,0,0,0,0,0,2
31,40,2488268,2488282,94,10,17,7387,87,124,1374,0,1,40,0.0502,0.213,0.6667,0.0065,0.9231,1,1,1.9731,0.9542,1.2305,0.3333,-0.1909,0.2432,0,0,0,0,0,0,2
1002,1017,639490,639507,107,30,22,13866,106,132,1360,0,1,50,0.4927,0.4491,0.6842,0.014,0.5938,0,0,2.0334,1.2787,1.0414,-0.3333,-0.0935,0.2998,0,0,0,0,0,0,2
368,385,795618,795659,872,79,90,84410,80,118,1374,1,0,80,0.5546,0.3724,0.6727,0.0218,0.388,0,1,2.9671,1.4771,1.9395,0.3182,-0.2572,1.0,0,0,0,0,0,0,2
1307,1322,600561,600841,46,9,7,8857,161,182,1353,0,1,40,0.0322,0.2381,0.7,0.0059,1.0,1,0,1.6128,0.9031,0.8451,-0.2941,0.3283,0.156,0,0,1,0,0,0,1
