species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,39.077008489034554,17.778352674474373,197.81358062629846,5205.448271449707,MALE
Gentoo,Biscoe,45.52878258154093,16.751916489468055,227.66103704962586,5091.375354420951,FEMALE
Adelie,Biscoe,35.234703542660775,18.85958522046895,197.91441384272923,3366.3445262711284,FEMALE
Adelie,Biscoe,37.90370936666358,17.639872773262812,193.62477651107176,4880.363956589971,FEMALE
Chinstrap,Dream,50.786278020614176,19.665748592272347,207.46011508960837,3740.1666184183296,MALE
Gentoo,Biscoe,38.94955133767775,13.646447703658856,230.2348028386417,5376.0437929242735,FEMALE
Adelie,Torgersen,37.46300096407201,18.187154757046176,195.69841921963314,3949.300865952345,MALE
Chinstrap,Dream,44.0122259998013,16.81724494855366,221.7339266896723,3811.7379538341215,FEMALE
Adelie,Biscoe,39.69815047712816,18.020801296938433,198.57173076700073,4026.7373077917546,MALE
Adelie,Biscoe,38.24093180172491,16.457912563511837,191.61513109479242,3730.1621146194007,FEMALE
Gentoo,Biscoe,44.23971422728518,14.386574452632132,231.0,4880.261448876016,FEMALE
Adelie,Biscoe,46.65116725596844,18.78678581024306,195.2883072170214,5293.82055526011,FEMALE
Adelie,Biscoe,40.273335285333964,16.083675430568533,201.97616441024078,4194.055134380411,MALE
Gentoo,Biscoe,46.15682803475245,13.636067661963128,219.08779548314484,5425.074548927292,FEMALE
Adelie,Torgersen,34.35171500690396,16.44073664708685,192.4361750041252,2938.1208914504077,FEMALE
Gentoo,Biscoe,44.56370655948913,13.603814497249644,205.90711987161114,5132.297007867306,FEMALE
Adelie,Biscoe,39.00140650564658,17.084275885770253,205.0125060754421,4765.0336250956725,MALE
Gentoo,Biscoe,47.566247567165036,17.197854474204636,227.47918719103902,5136.528439001099,MALE
Adelie,Dream,39.42880212558469,18.14175922315083,190.9501400867898,3200.361934550203,FEMALE
Gentoo,Biscoe,45.60787624572865,13.229093385052904,221.42644714654904,6019.745283368806,MALE
Adelie,Torgersen,37.86115268828222,16.65366878315167,193.0134804582937,3458.84319127472,FEMALE
Gentoo,Biscoe,38.77824656926679,13.883866422257196,224.8438570906933,5507.3501489631535,FEMALE
Chinstrap,Dream,48.40686667484475,17.646299935604162,192.59999158151905,3911.606672082962,MALE
Chinstrap,Dream,38.68884402739412,18.43482564851027,199.51989359959816,3864.9684392793492,MALE
Adelie,Torgersen,36.847609945709756,16.524605530800848,192.30481418906504,3556.8760648689695,FEMALE
Adelie,Torgersen,32.79222623429815,18.063877009157135,189.67299552729702,3426.9023010584915,FEMALE
Gentoo,Biscoe,49.73151880166524,14.515737516698515,227.92074401204906,5945.17883745814,MALE
Adelie,Biscoe,35.6256971215069,13.799501150436674,189.8786215994884,3263.635108705445,FEMALE
Adelie,Dream,39.790581394909864,20.72510016886633,208.75804248257379,4756.4849619549495,MALE
Gentoo,Biscoe,44.804575713497954,13.1,219.98893685048316,5606.067460117749,FEMALE
Adelie,Dream,37.97423706022561,19.25635710746893,206.5055519955994,4650.775268732995,MALE
Gentoo,Biscoe,39.33776773544349,16.926552430831535,213.48890169033152,4926.4482965644365,FEMALE
Chinstrap,Dream,48.81229771505993,19.876910715526673,200.5325261958684,3668.5693163494852,MALE
Chinstrap,Torgersen,50.37597602218116,17.094271114773413,193.09525741000175,3697.294509497666,FEMALE
Chinstrap,Torgersen,49.21733720939436,19.48273126169714,225.38977166854352,5510.142097375093,MALE
Chinstrap,Biscoe,47.78890880947566,17.912669415824332,209.31424418206967,6033.231077889877,MALE
Adelie,Biscoe,34.59851408359791,17.730964328068097,196.56080191004241,3811.2326203846133,FEMALE
Adelie,Biscoe,45.591982102541685,19.371630165399413,191.25355352904998,4085.8452277209285,FEMALE
Chinstrap,Biscoe,48.52585324383887,18.086171681274667,194.3738494593492,4006.5050600588156,FEMALE
Gentoo,Biscoe,38.435336422485264,13.698948125412628,223.83605723354853,5665.632804081827,FEMALE
Adelie,Biscoe,39.60675271881989,18.79174545250185,203.17686688745408,4897.197815140316,MALE
Chinstrap,Biscoe,45.45695356568153,18.899274392819315,185.88392144542058,4219.149704477051,FEMALE
Chinstrap,Dream,48.658149256246574,18.017423383584738,196.3608841632751,3743.0953006119394,MALE
Chinstrap,Dream,48.002605292138384,18.536749145820313,198.83946917715096,3398.7165154551176,MALE
Adelie,Biscoe,39.17784975606512,18.385038585790603,204.22946030054916,5131.719623486204,MALE
Adelie,Dream,42.84058194191586,18.988193078527548,200.304058033632,3627.725759419712,MALE
Adelie,Biscoe,39.819124837459924,17.127253765913178,193.55651057135483,3442.6940569976127,FEMALE
Adelie,Biscoe,38.30805405006985,18.111458332448553,200.31680777932928,3783.397624395034,MALE
Adelie,Dream,37.5852164456844,18.711085788018842,190.25044642863648,3712.737930893531,MALE
Adelie,Torgersen,37.82695055497826,16.591184308740267,197.90651682788615,4556.552483410208,MALE
Chinstrap,Biscoe,49.74573614572964,19.207131138187055,214.0547122794147,5176.709682345076,MALE
Adelie,Torgersen,36.32591917272393,15.613348972534808,186.42456464297544,3627.1986700486,FEMALE
Adelie,Dream,38.35043531907737,18.75588567373546,206.81087094715386,5174.640227950773,MALE
Gentoo,Biscoe,40.4162481169127,14.388858770284415,231.0,5214.232859640423,MALE
Gentoo,Biscoe,35.77531071285749,13.530879141840336,224.61570826524135,5000.311449680291,FEMALE
Adelie,Biscoe,41.098458581010235,13.760450925208321,216.56176562214495,5162.118151289689,FEMALE
Gentoo,Biscoe,49.58079724341869,14.886526866120304,231.0,5501.253005223997,MALE
Adelie,Torgersen,39.405660561600726,16.27605379527351,195.50643442229023,3828.2128816812547,FEMALE
Adelie,Dream,36.66677522426418,15.962968096817356,188.14157733316617,3597.849330883111,FEMALE
Chinstrap,Dream,48.471523841785135,19.622796416416847,223.20178446989146,5394.267811727863,MALE
Gentoo,Biscoe,42.112214038692116,14.249508033052937,218.01174680339307,5494.580390556534,FEMALE
Gentoo,Biscoe,45.028859528128066,13.1,227.9148336054608,5569.156293339672,FEMALE
Gentoo,Biscoe,38.19276280568229,13.778096984361268,190.59258494824627,3538.735331694687,FEMALE
Adelie,Dream,34.25727765969894,17.849642035705784,191.96923871061432,3451.8064110004416,FEMALE
Adelie,Biscoe,34.04290619581001,17.04496857787172,195.61075407429766,3702.7516745491216,FEMALE
Gentoo,Biscoe,49.1368137795911,15.025631728658013,231.0,5207.499382455189,FEMALE
Gentoo,Biscoe,46.739916627359364,13.515076067049128,218.87145808778223,4800.5336020383365,FEMALE
Adelie,Biscoe,46.96030124601602,18.13352809691935,220.45550452483673,3905.5276662112447,FEMALE
Gentoo,Dream,46.49918274767224,13.1,222.0395662094078,5351.623829982364,FEMALE
Gentoo,Biscoe,44.930689790480166,13.427843155196555,215.59900640123575,4401.463555792844,FEMALE
Adelie,Dream,41.979733580801444,19.230334554229813,208.90126366244303,5265.89735462663,MALE
Gentoo,Biscoe,45.03705550110427,15.16612182422864,222.29014061311958,5492.73931779255,FEMALE
Chinstrap,Dream,48.57692789180465,17.631498004852393,196.27289091958824,3701.8811179548343,FEMALE
