species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Torgersen,45.4,17.9,195,3625,FEMALE
Gentoo,Biscoe,51.1,17.0,230,5800,MALE
Gentoo,Biscoe,49.4,16.2,230,5550,FEMALE
Chinstrap,Dream,49.7,19.4,210,4050,MALE
Gentoo,Biscoe,50.0,15.9,225,4925,MALE
Chinstrap,Dream,50.5,19.0,194,3650,MALE
Adelie,Dream,37.3,19.4,190,3300,FEMALE
Gentoo,Biscoe,49.6,16.2,222,5250,MALE
Adelie,Dream,34.0,17.9,186,3700,FEMALE
Adelie,Biscoe,41.1,18.9,192,3775,MALE
Gentoo,Biscoe,46.2,15.6,219,5400,MALE
Adelie,Torgersen,46.0,20.3,195,4400,MALE
Gentoo,Biscoe,44.9,13.3,214,4950,FEMALE
Adelie,Dream,40.2,18.5,188,3525,FEMALE
Adelie,Dream,36.5,18.8,187,3750,MALE
Gentoo,Biscoe,48.8,14.8,223,5550,MALE
Adelie,Biscoe,37.8,20.5,198,4275,MALE
Adelie,Biscoe,37.6,18.1,180,4450,MALE
Gentoo,Biscoe,48.8,15.0,222,5550,MALE
Adelie,Dream,39.7,17.1,195,3050,FEMALE
Adelie,Biscoe,35.0,15.5,188,3600,FEMALE
Gentoo,Biscoe,44.5,16.4,215,5400,MALE
Gentoo,Biscoe,47.5,15.0,215,5300,MALE
Adelie,Dream,35.7,17.1,185,2900,FEMALE
Gentoo,Biscoe,46.1,13.7,208,4550,FEMALE
Gentoo,Biscoe,50.4,15.0,228,5550,FEMALE
Adelie,Biscoe,35.7,17.5,191,3175,FEMALE
Adelie,Dream,39.8,17.2,190,3350,FEMALE
Adelie,Dream,40.6,18.8,183,3900,MALE
Gentoo,Biscoe,52.1,17.0,228,5400,MALE
Adelie,Biscoe,38.2,20.0,190,3900,MALE
Chinstrap,Biscoe,49.7,19.0,196,3400,MALE
Gentoo,Biscoe,46.4,13.5,213,4400,FEMALE
Chinstrap,Dream,43.5,16.7,187,3200,FEMALE
Chinstrap,Dream,45.5,17.5,187,3550,FEMALE
Gentoo,Biscoe,50.8,15.7,231,5800,MALE
Gentoo,Biscoe,48.8,14.5,212,5300,MALE
Adelie,Dream,36.0,18.9,186,3800,FEMALE
Adelie,Torgersen,38.9,17.1,180,2900,FEMALE
Adelie,Dream,34.0,19.4,190,3450,FEMALE
Adelie,Biscoe,42.7,18.5,191,3650,FEMALE
Adelie,Biscoe,41.1,18.6,188,3700,MALE
Adelie,Biscoe,41.0,20.7,188,3600,MALE
Gentoo,Biscoe,48.4,15.0,215,5250,MALE
Gentoo,Biscoe,50.2,15.7,221,5750,MALE
Adelie,Biscoe,38.2,18.7,190,3700,FEMALE
Adelie,Dream,39.5,17.1,185,3050,FEMALE
Adelie,Torgersen,36.7,18.4,184,2925,FEMALE
Chinstrap,Torgersen,46.6,17.0,194,3350,FEMALE
Chinstrap,Torgersen,48.5,16.5,197,3325,FEMALE
Gentoo,Biscoe,45.2,13.9,217,4650,FEMALE
Gentoo,Biscoe,47.6,14.2,209,4625,FEMALE
Chinstrap,Dream,51.3,19.0,201,3950,MALE
Chinstrap,Dream,49.2,20.0,202,4050,MALE
Gentoo,Biscoe,49.1,14.5,210,4600,FEMALE
Adelie,Dream,39.5,18.8,193,3800,MALE
Adelie,Dream,38.8,20.0,190,3950,MALE
Chinstrap,Dream,49.5,18.2,196,3300,FEMALE
Adelie,Biscoe,38.8,18.1,191,3250,FEMALE
Adelie,Torgersen,36.2,17.5,184,3700,FEMALE
Chinstrap,Torgersen,52.7,20.0,197,3900,MALE
Gentoo,Biscoe,43.3,13.7,208,4350,FEMALE
Gentoo,Biscoe,49.1,16.2,225,5550,MALE
Gentoo,Biscoe,40.9,13.1,208,3950,FEMALE
Chinstrap,Biscoe,46.2,17.3,197,3550,FEMALE
Gentoo,Biscoe,50.0,15.8,226,4925,MALE
Gentoo,Biscoe,47.6,14.6,215,5300,MALE
Gentoo,Biscoe,43.5,15.2,215,5250,MALE
Adelie,Dream,36.0,18.0,187,3700,FEMALE
Adelie,Dream,40.2,17.1,196,3400,FEMALE
Chinstrap,Dream,51.7,18.1,191,4450,MALE
Gentoo,Biscoe,55.9,15.7,222,5200,MALE
Gentoo,Biscoe,44.0,13.8,213,5000,FEMALE
Gentoo,Biscoe,42.6,14.5,212,4750,FEMALE
Adelie,Biscoe,37.9,19.1,194,3550,FEMALE
Adelie,Dream,41.3,21.1,190,3425,MALE
Adelie,Torgersen,42.8,19.1,195,3900,MALE
Gentoo,Biscoe,49.0,15.2,228,5550,MALE
Gentoo,Biscoe,47.6,14.6,210,4625,FEMALE
Gentoo,Biscoe,46.5,14.5,213,4400,FEMALE
Gentoo,Biscoe,48.8,15.2,226,5550,MALE
Chinstrap,Dream,46.8,17.9,192,3300,FEMALE
Chinstrap,Dream,48.1,16.5,195,3350,FEMALE
Gentoo,Biscoe,48.2,15.0,213,5650,MALE
Adelie,Dream,37.0,19.3,190,3300,FEMALE
Adelie,Dream,39.2,18.6,193,3525,MALE
Gentoo,Biscoe,50.8,17.1,230,5650,MALE
Adelie,Biscoe,37.9,18.5,185,3325,FEMALE
Adelie,Dream,37.6,18.1,180,3950,MALE
Gentoo,Biscoe,52.1,16.3,216,6000,MALE
Adelie,Dream,35.7,17.5,195,3725,MALE
Adelie,Biscoe,41.6,18.0,192,3500,FEMALE
Adelie,Dream,37.5,19.1,184,3300,FEMALE
Adelie,Dream,37.2,20.5,191,3450,FEMALE
Chinstrap,Biscoe,42.4,17.3,196,3675,FEMALE
Gentoo,Biscoe,46.5,14.9,216,4700,MALE
Adelie,Dream,34.0,17.1,188,3400,FEMALE
Adelie,Dream,41.1,18.9,182,3950,MALE
Chinstrap,Torgersen,50.8,17.9,199,4000,FEMALE
Chinstrap,Biscoe,46.6,18.2,195,3900,MALE
Chinstrap,Dream,46.8,16.4,187,3350,FEMALE
Adelie,Biscoe,38.8,17.0,192,3150,FEMALE
Chinstrap,Dream,51.3,18.7,196,3400,MALE
Gentoo,Biscoe,49.8,16.3,229,5550,MALE
Gentoo,Biscoe,49.6,15.8,231,5800,MALE
Adelie,Dream,35.7,18.5,189,3325,FEMALE
Adelie,Torgersen,37.2,17.0,178,3000,FEMALE
Adelie,Torgersen,41.8,18.5,197,4150,MALE
Adelie,Torgersen,36.7,16.5,182,3700,FEMALE
Chinstrap,Torgersen,51.4,19.2,201,3800,MALE
Adelie,Dream,41.3,18.5,195,4250,MALE
Chinstrap,Biscoe,45.4,18.2,195,3800,MALE
Adelie,Torgersen,41.1,17.2,182,3625,FEMALE
Gentoo,Biscoe,43.5,13.9,219,4750,FEMALE
Adelie,Torgersen,41.1,16.8,192,3400,FEMALE
Gentoo,Biscoe,43.5,13.6,210,4500,FEMALE
Gentoo,Biscoe,46.7,15.3,223,5050,MALE
Chinstrap,Torgersen,50.8,18.2,195,3750,MALE
Adelie,Dream,42.2,19.4,194,3800,MALE
Chinstrap,Dream,49.3,19.6,202,3950,MALE
Gentoo,Biscoe,42.9,13.7,208,4200,FEMALE
Adelie,Biscoe,39.0,20.0,190,3900,MALE
Adelie,Dream,41.1,17.5,187,3200,FEMALE
Adelie,Dream,37.5,19.3,189,3800,MALE
Gentoo,Biscoe,45.3,15.0,216,5650,MALE
Gentoo,Biscoe,45.4,13.7,212,4875,FEMALE
Adelie,Dream,39.5,19.1,181,3900,MALE
Gentoo,Biscoe,51.3,17.0,230,5950,MALE
Adelie,Biscoe,39.7,19.1,194,3800,MALE
Gentoo,Biscoe,45.8,15.0,215,4750,FEMALE
Adelie,Dream,41.1,19.0,190,4250,MALE
Gentoo,Biscoe,52.2,16.5,216,5250,MALE
Gentoo,Biscoe,49.1,16.2,230,5800,MALE
Gentoo,Biscoe,44.9,13.3,208,4500,FEMALE
Gentoo,Biscoe,45.2,14.4,210,4450,FEMALE
Adelie,Torgersen,44.1,18.9,195,3450,MALE
Adelie,Torgersen,41.1,16.8,189,3700,FEMALE
Gentoo,Biscoe,48.4,16.3,219,5950,MALE
Chinstrap,Dream,50.5,18.2,201,3400,FEMALE
Gentoo,Biscoe,44.9,15.4,221,5200,MALE
Adelie,Dream,37.3,17.0,186,3000,FEMALE
Gentoo,Biscoe,49.1,14.5,220,5300,MALE
Adelie,Biscoe,42.7,19.5,191,4600,MALE
Gentoo,Biscoe,51.5,17.1,230,5500,MALE
Gentoo,Biscoe,49.8,15.9,225,5200,MALE
Gentoo,Biscoe,43.3,14.0,208,4600,FEMALE
Gentoo,Biscoe,45.8,15.1,218,5250,MALE
Gentoo,Biscoe,45.7,13.9,220,4725,FEMALE
Chinstrap,Biscoe,42.5,17.3,195,3500,FEMALE
Adelie,Torgersen,37.2,19.1,195,4350,MALE
Gentoo,Biscoe,49.8,16.2,230,6050,MALE
Chinstrap,Biscoe,50.6,18.7,195,3600,MALE
Gentoo,Biscoe,45.3,13.7,215,4900,FEMALE
Adelie,Biscoe,41.0,18.9,182,3650,MALE
Adelie,Dream,40.9,19.0,190,3950,MALE
Gentoo,Biscoe,47.3,15.3,220,5300,MALE
Chinstrap,Dream,45.7,17.3,181,3300,FEMALE
Adelie,Dream,36.3,18.4,182,3500,FEMALE
Adelie,Dream,33.1,17.1,185,2900,FEMALE
Adelie,Dream,40.2,17.2,176,3400,FEMALE
Adelie,Torgersen,45.8,19.0,195,4350,MALE
Adelie,Dream,40.2,16.7,196,3500,FEMALE
Chinstrap,Dream,49.2,19.9,196,3400,MALE
Gentoo,Biscoe,46.2,15.0,218,5250,MALE
Adelie,Dream,35.7,17.1,187,3000,FEMALE
Adelie,Dream,37.3,17.8,185,3400,FEMALE
Chinstrap,Dream,49.5,17.9,199,4000,MALE
Adelie,Torgersen,41.5,18.6,195,4475,MALE
Gentoo,Biscoe,51.5,15.6,222,5500,MALE
Adelie,Torgersen,33.5,19.0,193,3800,FEMALE
Chinstrap,Dream,50.8,18.2,201,3400,FEMALE
Gentoo,Biscoe,45.3,13.7,213,4900,FEMALE
Adelie,Biscoe,41.4,18.6,191,3525,MALE
Adelie,Torgersen,40.9,19.0,189,4100,MALE
Chinstrap,Biscoe,46.8,16.5,197,3650,FEMALE
Adelie,Dream,40.9,17.5,189,3550,FEMALE
Chinstrap,Dream,52.8,18.1,191,3950,MALE
Adelie,Dream,35.7,19.2,190,3300,FEMALE
Gentoo,Biscoe,48.4,15.1,213,5200,MALE
Adelie,Dream,40.6,20.1,200,4500,MALE
Gentoo,Biscoe,47.5,15.0,216,5250,FEMALE
Adelie,Torgersen,41.4,21.1,196,4450,MALE
Adelie,Torgersen,38.9,17.0,186,3550,FEMALE
Adelie,Dream,39.8,18.5,193,3250,FEMALE
Adelie,Torgersen,39.2,21.1,191,4300,MALE
Adelie,Dream,33.1,17.9,178,3300,FEMALE
Adelie,Dream,37.3,19.1,190,3600,FEMALE
Gentoo,Biscoe,50.7,15.0,222,5350,MALE
Gentoo,Biscoe,50.4,15.9,216,4925,MALE
Adelie,Dream,39.2,19.6,184,4300,MALE
Adelie,Biscoe,35.9,19.2,190,3750,MALE
Gentoo,Biscoe,47.4,15.0,219,5000,MALE
Gentoo,Biscoe,47.3,15.4,220,4650,MALE
Adelie,Dream,36.2,18.0,185,3150,FEMALE
Adelie,Biscoe,40.6,18.6,187,3550,MALE
Gentoo,Biscoe,49.5,15.3,222,5700,MALE
Gentoo,Biscoe,49.8,15.9,224,4925,MALE
Chinstrap,Dream,50.2,17.9,195,3600,FEMALE
Adelie,Dream,35.6,18.0,190,3450,FEMALE
