Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,2,female,53.118934000036816,0,0,31.295096803891287,S
0,3,male,60.64531706338231,0,0,8.46049887996909,S
1,1,female,23.98808564081753,1,3,103.30328127541372,S
1,1,male,53.6332136576205,1,0,67.43885076455746,C
0,3,male,22.993405341819436,0,0,13.430467554644334,S
1,1,female,1.9806701601110328,0,0,16.758869711645914,S
1,3,female,45.76637727412288,0,0,12.794686786372953,S
0,3,male,29.785538239771636,0,0,9.427008696827524,S
0,3,male,29.598563992469444,0,0,8.2440727156997,S
0,3,male,28.988855616847687,0,0,14.262580306456282,S
0,3,male,25.015452819348116,0,0,7.673009991593476,S
1,2,female,45.42200959182335,0,0,13.336200464973555,S
1,2,male,26.639973160453934,0,0,27.369868991201706,S
1,3,female,7.361860893778191,0,2,159.62351729246123,S
0,3,female,7.376749313021664,1,1,39.180859028941335,S
1,1,female,29.136153113149312,0,0,28.479907907121845,C
0,3,female,23.567135584148854,4,0,12.909658684850186,C
1,3,female,7.14348883368105,0,2,30.162880259331843,S
1,1,male,43.36167721831185,0,0,26.98941862936178,C
1,1,female,30.127860438241797,0,2,35.61606935919123,C
1,1,female,1.8512663802644802,0,0,34.77474174891449,S
1,3,female,28.39884039944898,0,0,11.60067401191693,S
0,3,male,27.71239519710457,0,0,11.807705621388154,S
1,2,male,25.481646949669077,1,1,40.54207382673568,S
1,2,male,28.974210049009706,0,0,11.123359510910863,C
0,3,male,21.942593589451576,0,0,8.359519231123846,S
1,1,male,40.54519726866562,0,0,29.72827694931501,S
1,1,female,26.797378368965866,0,2,42.49129083073957,C
1,3,male,22.704540165946835,0,0,12.708844858515185,S
0,3,male,48.77074185688551,0,0,30.436467968933513,S
0,3,male,29.026919497784355,0,0,12.863337944539499,S
1,2,female,33.47823618916057,1,1,32.947268212637056,S
1,3,female,30.28578153695711,0,0,10.57229619470991,S
0,3,male,25.177305214832394,0,0,8.943177623165608,S
1,2,female,0.19976727790113546,0,2,34.25457190732497,S
0,3,male,49.70297873014406,1,0,6.353102437066659,S
1,3,female,21.099217161890977,2,1,33.36213609232181,S
1,3,male,30.105274382611192,0,0,9.185397888501608,S
1,1,female,30.341687764769155,1,0,111.75786145635004,C
0,3,male,25.792027364379358,0,0,22.180965952411462,S
1,3,male,4.966246076271899,1,3,31.204822684281304,Q
0,2,male,33.15477146606049,1,0,85.52793502850314,S
1,3,male,22.362009834700938,0,2,9.028863966335102,S
0,1,male,47.226340543412846,0,0,24.15060885983748,C
1,3,female,27.163629426447436,3,0,12.630929552286501,C
0,3,male,41.911796133090704,0,0,58.98868803865164,S
0,1,male,52.59712407392321,0,0,28.763955991646462,S
0,3,male,29.90345982889029,0,0,11.87729455371611,S
0,2,female,53.661417331574086,0,0,8.51102124333996,S
0,3,female,6.731065191117497,0,3,96.0344371994294,S
1,1,female,32.078003046816505,0,0,27.253217034504647,S
0,3,male,26.869384392739445,0,0,36.80152364289143,S
1,3,male,26.86602043819804,0,0,10.407809385542215,S
0,3,male,29.037353764582555,0,0,8.013187715028865,S
0,2,male,48.912917633359775,0,0,9.72783219348884,S
0,1,male,45.300502470813626,1,0,95.37030514235386,S
1,1,male,35.86618670161357,0,0,25.176023320888362,S
1,2,female,28.375625537967125,0,0,12.38673436518162,C
0,3,male,36.35912083455766,0,0,15.672133081639995,S
1,2,female,0.07983195775849694,3,2,27.003759130291716,S
1,1,male,36.64841155333443,1,1,74.74488623272396,S
1,3,female,40.54653359049893,0,0,34.84196123574006,C
1,2,female,42.713671565704054,0,0,10.589572786922727,S
1,2,female,47.991137795110845,0,0,11.241155522423291,S
1,3,female,26.134810351573336,1,0,11.145615064091452,S
1,1,female,35.02218665234645,0,0,35.24243111578889,C
0,3,female,12.116682474613025,3,2,21.882286326445495,S
1,3,female,22.33919339930205,0,1,22.59706660263719,S
1,2,female,24.7945222106124,1,3,44.37542710761139,S
1,3,male,29.03549690000716,0,0,14.496921629341863,C
1,1,male,37.091946903057554,0,0,29.925253912899517,C
1,2,female,51.66411493647722,0,0,22.29680162899754,S
0,3,male,27.373371457674924,0,0,31.56822636540936,S
0,1,male,70.56659626690865,0,0,22.90784537592547,S
0,1,male,30.2954101058669,1,0,68.42467225772302,C
1,3,male,3.949600908705153,0,1,13.464180247162567,C
0,3,male,26.43084056264753,0,0,7.064138515283354,S
0,3,male,28.981379507072532,0,0,8.82470239247642,S
1,3,female,28.651162790078168,2,0,11.66579891840669,S
1,2,female,28.253089061720946,0,0,38.60408320562222,S
1,3,female,25.490764401677332,0,0,11.087437766762203,S
0,1,male,40.475881115181416,0,0,9.680638171379462,S
0,1,male,51.25790951550297,1,0,59.24605254790344,S
1,3,female,26.121586733622586,0,0,10.395648936495432,S
1,2,male,28.249154189508385,0,0,15.616290223816293,S
1,1,female,30.072735996958436,1,0,85.8626925963789,S
0,1,female,10.391561007482014,3,2,100.26557923533312,S
0,3,female,21.90765667140844,0,0,6.547370497704838,S
0,3,male,22.64641308073041,0,0,11.56189201893451,S
1,1,male,25.295486094190984,0,0,77.85387262218636,S
1,1,female,31.952716656597122,1,0,35.59403600837215,S
0,3,male,25.42012048094989,0,0,7.9787446109525675,S
1,1,female,37.09206327705607,1,0,90.60374269090815,S
1,3,male,26.223882169710162,0,0,14.904591990549939,C
0,3,male,24.91267584424352,1,2,84.95036926630594,S
0,3,male,27.249526183074792,0,0,5.642498984660581,S
1,3,female,31.387053344589575,0,0,11.932001476020059,C
0,2,female,1.1349835422915806,2,2,31.26583496344407,S
0,3,male,44.755362328806804,0,0,12.93560535928852,S
1,2,female,25.341177982543364,1,0,17.57131354754365,S
