Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,female,19.0,0,0,7.094997222206962,C
0,3,female,19.0,4,1,39.915096331806936,S
1,1,female,34.0,1,1,43.245715548351185,C
0,3,male,17.0,4,1,20.381919702245114,S
0,3,male,18.0,0,0,11.429152094875914,S
0,3,male,2.0,1,1,35.83171263917891,S
1,3,female,31.0,0,0,19.66423838285157,S
1,1,female,17.0,0,2,87.90842833995825,C
1,1,female,58.0,0,0,134.43409770699338,C
0,2,male,34.0,0,0,11.615707745323576,S
1,1,female,60.0,0,0,49.62176368751362,S
0,2,male,30.0,0,2,3.652074359252272,S
1,3,female,5.0,1,1,11.845956761832147,S
0,1,male,55.0,1,1,93.17484023972384,S
1,3,female,14.0,1,1,12.38012741995026,C
0,3,male,17.0,0,0,5.216533464707407,S
0,2,male,40.0,0,0,0.04721525018478135,S
0,1,male,52.0,0,0,69.13861322574432,S
0,3,female,3.0,4,1,41.46627364802705,S
1,1,female,56.0,2,0,51.432130229207836,S
1,1,female,29.0,0,0,212.57973339765584,S
1,2,female,19.0,0,0,45.306148764208814,S
0,3,male,24.0,0,0,16.11071372017314,S
0,2,male,39.0,1,5,39.582761893754125,S
0,3,male,22.0,0,0,4.001831810579109,S
1,2,female,32.0,1,0,43.7092131007398,S
0,3,male,18.0,0,0,12.076493814736017,S
1,1,male,18.0,0,0,119.83837872580372,C
1,2,male,8.0,0,1,19.470810898833868,S
0,3,male,32.0,0,0,5.952310359290799,S
0,3,male,74.0,0,0,19.519614773217008,S
1,3,female,43.0,0,1,32.79133290283474,S
1,2,female,17.0,0,0,25.20698439938405,Q
0,3,female,27.0,0,0,3.0952781243971907,S
0,2,male,26.0,0,0,22.637727278436373,S
0,1,male,24.0,0,2,26.65513380678852,S
1,2,female,31.0,1,0,32.1890241876825,S
1,2,female,38.0,0,0,39.093328501737425,C
1,1,female,19.0,1,0,117.36478769856112,C
0,2,male,55.0,0,0,35.76659764457272,S
0,2,male,64.0,0,0,2.613691684859637,Q
0,2,male,18.0,1,0,6.470924926205335,S
0,3,male,39.0,1,0,32.87607520528205,Q
0,2,male,25.0,0,0,19.346136044889562,S
1,2,female,1.0,1,2,48.89604115107653,S
0,3,male,7.0,3,1,40.86875428366125,S
0,3,male,45.0,0,0,0.9081282445855773,S
0,3,male,22.0,0,0,20.294293886351007,S
1,3,female,13.0,1,1,7.8284909214364955,C
0,3,male,24.0,0,1,8.706789000345443,Q
0,3,male,23.0,0,0,13.58147405602626,S
0,3,male,26.0,1,0,6.379703732337304,S
1,1,male,24.0,3,2,279.7311818884748,S
