Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,21,0,0,8.05,S
0,2,male,28,0,0,12.65,S
1,3,male,44,0,0,12.475,S
1,3,female,24,0,3,19.2583,S
0,2,female,24,0,2,19.5,S
1,2,female,45,0,0,13.0,S
0,3,male,20,0,0,9.8458,S
1,1,female,53,2,1,83.1583,S
1,2,female,24,0,2,23.0,C
1,1,female,39,1,0,512.3292,S
0,3,male,30,0,0,8.05,S
1,1,female,33,1,0,86.5,C
0,3,male,23,0,0,9.35,S
0,3,male,22,0,0,7.25,S
0,3,male,38,0,0,8.05,S
0,3,female,10,3,2,27.9,S
0,1,male,45,0,0,27.7208,S
0,3,male,21,0,0,7.8542,S
0,3,male,25,1,0,7.925,S
1,1,female,56,1,1,247.5208,S
0,2,male,31,1,0,30.0708,C
0,1,female,47,1,0,59.4,C
1,2,male,32,1,0,26.0,S
0,3,male,39,0,0,8.05,S
1,1,female,35,0,1,164.8667,S
0,2,male,50,0,0,12.525,S
0,3,female,41,1,6,34.375,S
0,3,male,21,0,0,7.7333,Q
0,2,male,34,1,0,26.0,S
0,3,male,18,1,1,14.4,C
1,2,female,32,0,0,13.0,S
1,3,female,29,0,2,20.525,C
1,1,female,19,0,2,79.65,S
1,1,male,52,0,0,51.8625,S
1,3,male,25,0,0,7.1417,S
0,2,male,47,0,0,13.0,S
1,3,male,31,0,0,12.475,S
0,3,male,24,0,0,7.2292,C
0,3,male,34,0,0,7.8958,S
1,2,male,0,2,2,39.0,S
0,2,male,16,0,0,73.5,S
0,3,male,19,0,0,8.1583,S
1,3,female,30,0,1,8.5167,S
0,3,female,37,0,0,7.05,S
1,2,male,32,0,0,13.0,S
1,2,female,28,1,0,24.0,S
0,1,female,46,0,0,51.4792,S
1,1,female,30,1,0,76.2917,S
0,3,male,61,0,0,7.775,S
1,1,female,39,0,0,512.3292,C
1,1,female,44,1,1,247.5208,S
0,3,male,23,0,0,7.8958,S
0,3,male,51,0,0,7.225,C
1,2,female,3,1,1,18.75,C
0,3,male,36,0,0,7.05,S
1,1,female,36,1,1,211.5,C
0,3,female,30,0,1,12.475,S
0,2,male,44,1,0,26.0,S
0,2,male,60,1,4,41.5792,C
0,1,male,40,0,0,28.5,C
0,3,male,11,0,2,15.7417,C
0,1,male,36,0,0,40.125,C
0,3,male,19,0,0,7.7958,S
0,3,male,42,0,0,7.925,S
1,3,female,18,1,2,31.3875,S
0,1,male,61,1,0,90.0,C
0,3,female,14,0,0,7.775,C
0,3,female,45,0,4,16.7,S
0,3,male,35,0,0,7.05,S
0,1,male,64,1,1,61.9792,C
0,3,male,40,1,1,24.15,S
1,3,female,22,0,0,7.1417,S
1,2,female,40,0,0,13.0,S
0,3,male,24,0,0,7.8958,S
1,3,female,17,0,0,7.225,C
0,3,male,25,0,0,7.8958,S
0,2,male,30,1,0,26.0,S
1,3,female,31,1,1,15.5,S
0,2,male,52,0,0,13.0,S
0,1,male,22,2,0,66.6,S
0,2,male,23,2,0,73.5,S
0,3,male,17,0,0,9.5,Q
1,1,female,26,1,0,66.6,S
0,3,male,26,0,0,7.225,C
0,3,male,1,4,1,29.125,C
0,3,male,44,0,0,7.75,Q
1,3,female,24,0,2,20.2125,S
1,1,male,34,0,0,26.55,S
1,1,female,45,1,1,79.65,S
1,2,male,0,1,2,27.75,S
0,3,female,18,1,0,14.5,C
0,3,male,25,0,0,7.775,S
0,3,male,19,0,0,7.65,S
0,3,male,25,0,0,7.05,S
1,2,male,32,1,1,37.0042,S
0,1,male,18,0,0,30.0,S
0,2,male,27,0,0,13.0,S
0,3,male,22,0,0,7.2292,C
0,1,male,65,0,0,26.55,S
1,3,male,1,0,1,13.4167,S
1,3,male,3,1,1,15.7417,C
1,1,male,37,1,0,55.9,C
1,2,female,45,0,0,10.5,S
1,3,female,5,1,1,11.1333,S
0,3,male,20,0,0,7.25,S
0,1,male,37,0,0,28.5,C
0,2,female,44,0,0,13.0,S
0,3,male,21,0,0,7.775,S
0,3,male,30,1,0,15.55,C
1,1,female,22,1,2,151.55,S
1,2,female,24,1,0,13.8583,S
0,2,male,52,0,0,14.0,S
1,2,female,28,0,0,13.0,S
1,2,female,13,0,0,11.5,C
1,1,female,21,1,1,151.55,S
0,1,male,24,0,1,263.0,C
1,3,female,22,0,0,7.25,S
0,3,female,45,0,5,24.15,S
0,3,male,7,4,1,39.6875,S
0,3,male,25,0,0,7.8958,S
0,3,male,27,0,0,7.775,S
0,3,female,18,0,0,7.8958,Q
1,2,female,24,0,0,10.5,S
1,1,male,49,0,1,61.3792,S
0,3,male,24,0,0,8.05,S
1,1,female,35,1,0,153.4625,C
0,3,male,16,1,1,11.1333,S
1,3,male,16,1,1,15.2458,C
0,1,male,29,0,0,35.5,C
1,3,female,5,2,2,31.3875,S
0,1,male,30,1,0,35.5,S
1,3,male,26,0,0,56.4958,S
1,2,male,1,0,1,26.25,S
1,3,male,20,1,0,7.25,S
1,2,male,3,1,1,26.0,S
1,3,female,5,0,1,12.475,C
0,3,male,19,0,0,6.75,S
0,2,male,19,0,0,10.5,S
1,2,male,32,0,0,13.0,S
1,2,female,30,1,0,26.0,S
0,1,female,28,0,0,78.85,C
0,2,male,21,0,0,73.5,S
1,3,female,5,0,1,8.5167,S
1,3,female,15,1,0,14.4542,C
1,1,female,24,1,0,211.3375,S
1,3,female,5,0,1,8.4042,S
0,3,female,18,2,2,34.375,C
0,2,male,57,0,0,10.5,S
0,3,female,18,1,0,16.1,S
0,3,male,18,0,0,14.5,S
0,3,male,16,1,1,11.1333,S
1,3,female,15,0,0,9.8417,C
0,3,female,8,3,1,19.2583,C
0,2,male,28,0,0,10.5,S
0,3,male,51,0,0,7.775,S
1,2,male,62,0,0,10.5,S
1,3,female,15,1,0,18.0,C
1,1,female,33,0,2,512.3292,C
1,2,female,34,1,2,27.75,S
0,3,male,26,0,0,7.7417,Q
0,3,male,24,0,0,7.05,S
1,3,female,15,1,0,14.4542,C
