DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
0.284736686,0.514083158,0.292993631,1.817544994,2.786516854,0.215528214,0.151851852,3.155483871,0.206376361,1.024712979,0.295844327,0.303870968,0.268399238,0.233578792,0.655619884,0.642453442,1.124575764,1.13909427,0.483903513,0.770535417,0.206595538,0.279323706,0.157594264,0.911046203,1.896551724,0.95927183,0.182254545,0.253318694,0.633876221,0.13799448,0.429354839,1.682746161,1.610521189,0.20114336,0.307692308,0.214069767,0.244870041,0.280731847,0.266926829,0.291934506,0.227280939,0.328344588,0.456674886,0.166476462,0.928270456,0.168164599,2.300083979,0.331841334,0.553178918,0.939554289,0.470505122,0.193800654,0.173773585,0.125535859,0.150558367,0.18057242,0.280490428,0.126717671,0.292049757,0.168361192,0.560397867,0.316869887,1.838138925,2.243440233,0.139342872,1.155062329,0.83283936,0.198881417,0.146840338,0.114324737,0.125535859,0.120836944,0.462063649,0.218821956,0.16054768,0.19393172,1.373371781,Ts65Dn,Saline,S/C,t-SC-s
0.256675521,0.425384327,0.254298896,1.908433424,3.186018957,0.14991702,0.122759283,1.65738261,0.147618323,0.930269187,0.445562397,0.218840359,0.299329983,0.208065357,0.733065057,0.416905981,1.407585792,1.470975464,0.40965063,0.403804668,0.326979472,0.287635799,0.138461538,0.497695003,2.228412675,0.904329236,0.189325277,0.165243223,0.468682505,0.123337208,0.305660377,1.638882731,0.265509924,0.386277873,0.42753498,0.633578615,0.453874077,0.301399689,0.406360424,0.296977661,0.263627064,0.34954498,0.217137293,0.173173601,0.921073052,0.142399699,1.895635981,0.257510099,0.368916972,1.048813415,0.209908872,0.152001493,0.180768438,0.101609658,0.136635725,0.168864249,0.173456498,0.110387731,0.239002588,0.130594053,0.52771582,0.248577027,1.420437519,1.789790921,0.126339373,0.999676035,0.779242795,0.179131759,0.140605979,0.110839816,0.101609658,0.116340084,0.366639879,0.162471575,0.14940048,0.16287354,1.221194522,Control,Saline,C/S,c-CS-s
0.704525022,1.077531646,0.353698451,2.378422337,3.646148083,0.249051148,0.194797798,3.326434196,0.212826334,1.993218085,0.931429663,0.284342153,0.380631238,0.276278617,0.872280598,0.725528513,1.70931349,2.932409341,0.547394194,0.715879635,0.599467928,0.381359649,0.180828465,1.081246416,2.523908858,1.50916388,0.282789651,0.265411479,0.85005692,0.175627925,0.511003357,2.283819629,0.305220082,0.390227464,0.354628165,0.646219828,0.538874329,0.328030434,0.535130581,0.366203178,0.279183941,0.405956701,0.72126762,0.163295511,0.837180287,0.181020635,2.01734646,0.295537674,0.40610687,1.258221873,0.336749009,0.163265306,0.173580786,0.104087363,0.155477492,0.149032181,0.163708647,0.111162009,0.193626707,0.095555774,0.451455748,0.276853544,1.573813708,2.241619033,0.124485906,1.250734705,0.991571274,0.227991977,0.148362529,0.124173982,0.104087363,0.121785422,0.328439662,0.184835002,0.17033238,0.196109604,1.978152479,Ts65Dn,Memantine,C/S,t-CS-m
0.420346388,0.645848823,0.417970722,2.594052045,4.396478754,0.29402834,0.195134228,6.307723009,0.264423077,1.534665992,0.456874683,0.385607604,0.426902039,0.378536887,0.859479554,0.77827381,1.758578431,2.300842171,0.570357411,0.904825599,0.365241005,0.421938259,0.211478885,1.328255208,2.891017694,1.338414942,0.262183021,0.355918892,0.842745959,0.178653174,0.522875817,2.543187568,0.352573018,0.568125311,0.519275029,0.731997972,0.689720268,0.47844523,0.735159817,0.440409919,0.441319108,0.587519026,0.714019009,0.184118507,1.044961897,0.164676304,2.899563319,0.288019485,0.458083621,1.471303805,0.296379869,0.166388528,0.198988348,0.113412848,0.162466579,0.188851143,0.20979021,0.127588933,0.205510907,0.12663716,0.473351069,0.30873604,1.70152667,2.372831987,0.138229755,1.055865922,0.891520452,0.199840719,0.161816698,0.135080451,0.113412848,0.116154222,0.500251748,0.191850796,0.147034051,0.204785077,1.171693085,Ts65Dn,Saline,C/S,t-CS-s
0.311808118,0.613674828,0.345640526,2.755389718,4.190910702,0.279920213,0.239130435,4.418870462,0.26887469,1.283851438,0.320110193,0.36169697,0.322389102,0.322867958,1.037026879,1.061069427,2.008067971,1.099782406,0.487576317,0.863676902,0.363692882,0.433499228,0.191238001,1.233027834,3.532388664,0.965769055,0.275099929,0.298847087,0.693490518,0.182309981,0.47310623,2.878415992,1.432929782,0.481217776,0.448818898,0.917390336,0.745035497,0.393096949,0.884356791,0.391843972,0.353945035,0.475367047,0.33987955,0.189576883,1.241576936,0.187406297,1.528286789,0.264487605,0.512211185,1.205066095,0.408874986,0.164471424,0.195688388,0.145679969,0.182019385,0.217889033,0.278920542,0.112673717,0.196463259,0.120600067,0.568547419,0.309800129,1.801617807,2.392404369,0.153183987,1.426054999,0.856238234,0.204006447,0.118756286,0.109861741,0.145679969,0.105272286,0.512189293,0.218571509,0.168422917,0.196838573,1.306009671,Ts65Dn,Saline,S/C,c-SC-s
0.441197654,0.761387246,0.348346314,2.62490123,4.490939776,0.290771812,0.183967112,5.23409236,0.297420074,1.283851438,0.474563207,0.384384695,0.374005305,0.351236979,0.902738291,0.741830065,1.729160113,1.508579188,0.48355307,0.637724045,0.32781339,0.401610905,0.192446043,1.574991545,3.026666667,1.220366564,0.242622546,0.288859416,0.776859504,0.159162031,0.429367863,2.704584882,0.681844854,0.257906977,0.314176586,0.214069767,0.244870041,0.390656416,0.266926829,0.353265869,0.267141324,0.375824176,0.553649077,0.190561529,0.95421073,0.158505269,2.846100181,0.318714159,0.533333333,0.95201248,0.485140226,0.166469094,0.185139319,0.124832638,0.164783374,0.207244926,0.275453403,0.130526811,0.265059289,0.152963671,0.451455748,0.301075269,1.70794441,2.330009611,0.147401717,1.386503512,0.840068624,0.257078054,0.147747051,0.110316514,0.124832638,0.101806353,0.479782385,0.227459804,0.163739148,0.19393172,1.539375735,Ts65Dn,Saline,S/C,t-SC-s
0.28002414,0.46907061,0.266096866,2.087635054,3.103894655,0.1703312,0.145283019,2.769011725,0.169458128,1.017387676,0.371497999,0.214774282,0.302456429,0.210294657,0.738310456,0.699196668,1.366610866,1.896302124,0.450251256,0.577163712,0.227861666,0.309050064,0.154772938,0.8720664,2.132323779,1.129723297,0.193748614,0.21922043,0.567202283,0.135414634,0.34971846,1.817693959,0.249394222,0.428890211,0.369308335,0.620797382,0.494063325,0.341914796,0.480015083,0.361884158,0.269293924,0.365241211,0.358074415,0.193992095,0.895157895,0.151529928,2.111944523,0.303007706,0.549035748,1.000293974,0.271446268,0.146465873,0.199980808,0.105284068,0.145597879,0.15597952,0.172814955,0.126773888,0.177631579,0.121795312,0.482602802,0.306075592,1.468738206,2.093004018,0.140923678,1.052587692,0.847552064,0.21882727,0.208497246,0.17116839,0.105284068,0.138799817,0.433518117,0.189395028,0.213940959,0.281511304,1.42505608,Control,Saline,C/S,c-CS-s
0.509837631,0.868870477,0.352553263,2.61772632,4.36699601,0.203395857,0.145402022,1.973905198,0.24054006,1.588376828,0.664929898,0.280945915,0.319480844,0.248719143,0.986625412,0.732242866,1.820096852,1.972738711,0.419918602,0.750288915,0.400922808,0.319937206,0.155760774,1.708978032,3.188883868,1.39807184,0.227766463,0.30287745,0.82148653,0.137613623,0.443459953,2.640225564,0.326116881,0.343911545,0.313849943,0.57868112,0.467515741,0.37248,0.45066385,0.338174274,0.259633371,0.375824176,0.229453015,0.247348485,1.38107654,0.216512811,2.096131088,0.380048101,0.561925172,1.074030672,0.192744368,0.17924288,0.210586356,0.127771719,0.16112013,0.221155147,0.211832851,0.129088228,0.2775895,0.150905758,0.584704743,0.327840547,2.586215947,2.441174296,0.147971235,1.131543013,1.019513935,0.250128499,0.138352141,0.111878882,0.127771719,0.125445865,0.403681867,0.134877565,0.148496896,0.142138599,1.831694151,Ts65Dn,Saline,C/S,t-CS-s
0.252389804,0.390374332,0.284346847,1.758258258,2.359737178,0.265904366,0.194779772,3.725621936,0.234545455,1.210927886,0.328327338,0.317326931,0.27134001,0.311738424,0.608680793,0.761616162,1.109439124,0.926170468,0.460068081,0.815800416,0.280322977,0.37382199,0.234316479,0.824055485,1.574946258,0.613636364,0.251703878,0.252081927,0.570550508,0.204101097,0.379363253,1.498083592,0.543225806,0.589257082,0.721935484,0.883165162,0.614445035,0.456933821,0.676900585,0.335960182,0.354919908,0.463463751,0.464367117,0.144422953,0.723449001,0.144404777,1.439985227,0.233177781,0.289707187,0.707826348,0.12830432,0.176983728,0.138925051,0.146166278,0.174555579,0.191241291,0.178854626,0.121569743,0.192841752,0.087126333,0.648333825,0.316533267,1.456760275,1.943046114,0.21535649,1.291754352,0.759498927,0.264023211,0.180588129,0.147387496,0.146166278,0.144324122,0.339992532,0.194635059,0.251874574,0.210340338,0.98420374,Control,Saline,S/C,c-SC-s
0.427416551,0.609090909,0.290119289,2.149200131,3.606436898,0.196863841,0.145327103,4.190899642,0.194642634,1.16019656,0.468807678,0.280827367,0.285601888,0.233020781,0.799543842,0.871917263,1.449634444,1.334095064,0.372416616,0.726413856,0.307362647,0.325488743,0.143358226,1.114719339,2.468254695,1.237895289,0.208967503,0.280283832,0.629980276,0.134906988,0.405987827,2.305285691,0.290744337,0.386161011,0.342181667,0.638677233,0.474409971,0.320630749,0.469313725,0.31277313,0.262136986,0.397723468,0.340847164,0.192401489,0.797642621,0.136217304,1.612413987,0.268947715,0.295535032,1.015768018,0.101450271,0.129004751,0.197514276,0.107119591,0.161104244,0.156681742,0.15718775,0.102407277,0.249289222,0.122569301,0.481247979,0.275487502,1.428571429,2.328971812,0.137824306,1.020480312,0.923805161,0.198286996,0.126595333,0.105100872,0.107119591,0.136820698,0.460199715,0.103784295,0.164924006,0.161916563,1.264948377,Control,Memantine,C/S,c-CS-m
