ID-type,Right-Ascension,Declination,Blue_base_1,Blue_base_2,Red_base_1,Red_base_2,blue-band-flux_1,blue-band-flux_2,blue-band-flux_3,blue-band-flux_4,blue-band-flux_5,blue-band-flux_6,blue-band-flux_7,blue-band-flux_8,blue-band-flux_9,blue-band-flux_10,blue-band-flux_11,blue-band-flux_12,blue-band-flux_13,blue-band-flux_14,blue-band-flux_15,blue-band-flux_16,blue-band-flux_17,blue-band-flux_18,blue-band-flux_19,blue-band-flux_20,blue-band-flux_21,blue-band-flux_22,blue-band-flux_23,blue-band-flux_24,blue-band-flux_25,blue-band-flux_26,blue-band-flux_27,blue-band-flux_28,blue-band-flux_29,blue-band-flux_30,blue-band-flux_31,blue-band-flux_32,blue-band-flux_33,blue-band-flux_34,blue-band-flux_35,blue-band-flux_36,blue-band-flux_37,blue-band-flux_38,blue-band-flux_39,blue-band-flux_40,blue-band-flux_41,blue-band-flux_42,blue-band-flux_43,blue-band-flux_44,red-band-flux_1,red-band-flux_2,red-band-flux_3,red-band-flux_4,red-band-flux_5,red-band-flux_6,red-band-flux_7,red-band-flux_8,red-band-flux_9,red-band-flux_10,red-band-flux_11,red-band-flux_12,red-band-flux_13,red-band-flux_14,red-band-flux_15,red-band-flux_16,red-band-flux_17,red-band-flux_18,red-band-flux_19,red-band-flux_20,red-band-flux_21,red-band-flux_22,red-band-flux_23,red-band-flux_24,red-band-flux_25,red-band-flux_26,red-band-flux_27,red-band-flux_28,red-band-flux_29,red-band-flux_30,red-band-flux_31,red-band-flux_32,red-band-flux_33,red-band-flux_34,red-band-flux_35,red-band-flux_36,red-band-flux_37,red-band-flux_38,red-band-flux_39,red-band-flux_40,red-band-flux_41,red-band-flux_42,red-band-flux_43,red-band-flux_44,red-band-flux_45,red-band-flux_46,red-band-flux_47,red-band-flux_48,red-band-flux_49
4,13.298875273843041,12.523348014120291,351,937,581,535,24763.91148410811,23354.84608151806,19716.900154325664,18304.09201717119,20121.28516031985,17369.1097155987,12485.2007210815,15254.212708263578,15543.938459764391,10968.640943468117,10843.761923980257,10930.645900345593,10003.619560177149,11817.956714034264,9451.396946756584,7664.949275096105,9413.65815769448,7042.733310785613,8333.297108299466,6936.12100887477,7116.082394764979,5663.580498193773,7057.240272779276,7140.7477118902625,7103.147868470358,5638.308316909205,5936.2060845223905,3358.420408092589,4200.622218206153,3965.3196364246314,2037.6116,2954.4650598341677,3106.4783864047304,3253.8872664032842,4496.383752355858,2895.896,3792.187911663932,3996.672925332737,3581.347318839671,4680.461677951671,3068.763382919846,2819.7732162524658,2314.574659094793,2619.225289940473,6080.663558794218,5136.424546412918,4585.0192100097365,2945.5607916785125,4182.618285114838,3969.5196305308555,3527.1310160020826,4370.756258838185,1973.1309,2585.902869675329,2509.122033024878,2105.375009378782,1740.431,2270.11494183052,2181.8374851956546,2591.6634585346283,1248.7919849574173,1168.3356,1146.4545,2381.5169727926186,1010.2028,2373.9622986903364,2157.7117994922974,845.1444,1225.5915888745008,610.60205,1745.4057111418986,536.61346,1203.7246142038675,1338.9463432224416,898.2561981991594,588.0798606257937,748.6303992077444,513.7328,1341.5883226893432,1759.5059663727318,958.1454938781485,1019.4807367227488,1210.6846005612026,809.7097127964112,1212.0558805052349,226.4114199547073,926.3973939730943,797.494476906274,751.3243486653728,389.73917870316507,429.4300193078363,771.7025235637597,531.9495812632096
4,16.452261572789762,-11.618004990128625,960,1242,15,470,11294.577021286172,15309.861079719816,14868.985474262166,10315.503245692205,12105.5147592788,18706.33,9428.600272747593,11559.579248495882,13464.640746538447,10450.539200184952,14001.564760782341,10392.141573910403,12939.689873541542,15095.873,11803.551684236729,9206.658600970273,13311.046,8581.180250729185,11630.389419364048,11044.082928016807,9435.501198335034,8965.587055890144,8241.1370967392,8602.300523881211,9042.821459775505,8416.585002886663,6133.73164888847,5558.527015359798,5468.160508707917,5457.9084428552715,4848.377027989907,4119.764038342379,3966.943730535275,5085.157265927727,5455.901148944727,3396.4359051404094,4536.947018080159,4466.810835125759,4733.812081740964,3575.3928676865216,3896.387597740826,3092.4762561760076,2457.1275088874454,3059.2671376848566,8496.050027320129,6815.3054334369635,6254.05219113899,5439.398618279572,5384.524986517113,4778.873284365484,3376.679645833817,4353.906876726893,2554.4007843288537,3343.6149897516675,2612.3398659412296,2571.400150309403,1740.431,1575.029,2025.2870941219317,2262.9838652059157,1216.6349,1168.3356,1146.4545,2585.170619656925,1010.2028,3065.2944389383574,2400.209827402947,845.1444,1087.7266897264142,1338.3265080758397,2029.7472335962466,958.0966793368548,1670.299719353386,2139.2188316127817,1277.9201852353644,892.9616998848284,705.7494522118191,513.7328,1411.3851822345944,2636.864259965736,2355.4657846084497,1322.6887319459859,1326.814909064317,1338.2720964773148,2157.824766220686,260.35895717330925,692.8566331637292,944.7037254803879,1394.2154023474657,897.1447155059491,569.1371323220749,1229.3021912836373,134.72482
2,23.941,-59.55542860538919,483,637,63,163,11897.323015606962,14476.535947912396,14076.854408459329,8314.502769795427,13795.74455371267,17366.048359339187,9624.095209439598,10145.300945949972,11197.022588634289,8602.950981644706,9961.256752200139,9032.753974943196,9238.442479757232,10746.768941637423,9090.337598103693,9561.228781351623,13311.046,7109.376279098846,7430.085402802964,10042.939434193797,7210.438879996433,6810.837579459992,7592.077129078731,8309.820800195923,8435.510770714829,7582.2542964585045,6280.8616913537735,5938.173153425613,5770.341964585266,6434.737402143282,5400.546313149727,5085.44108375626,5177.3349254102695,4907.595199471069,5727.420490500168,3600.155610814707,4538.036406478251,4513.663881429391,3983.86005447732,5869.9672248613515,4389.124633326893,4597.598653050473,3702.185739081638,3939.820129261848,6821.660391786695,7401.86994870761,5972.175355309052,5821.043991494515,5872.471723189157,4808.791791949161,4651.181070226977,4728.183404113852,3399.0810840371496,4051.2858798203138,3339.3348834386356,3068.6659908586325,2737.7370336630247,2479.383614619855,2630.6706487250667,2669.84651381783,1853.2204710426072,1711.8579785722243,1911.7026057477656,2133.6942275603783,1090.989852618273,2838.724944592894,1848.2492879834124,1245.9808098133287,1616.779182713537,1623.0844012615314,1442.2015949088116,1464.6201560691406,1765.5337651035472,2328.474526270789,656.8366375891009,951.2260208447007,1149.008467568376,874.6939043790109,1051.6287275632576,2128.3587778652327,1630.5076210700233,1287.8485459609296,1002.995270340198,983.430961485217,1636.4179597093582,883.1048145675724,1337.0717134352253,1366.406421239313,1320.417371635737,814.6681107508733,917.8858957424076,1393.2550547907492,497.1726790103322
4,21.401431242922666,6.644807129604089,538,492,59,131,9903.175461074596,11703.099075543949,13141.399707308758,11322.09259126831,13275.229276816175,12814.192402677223,10177.541370603769,11099.269059901731,11808.184202995564,7640.397917884871,10030.560127882647,7689.149855978397,10442.836062680759,10760.090735979926,9393.44722599094,10215.567827095188,10546.69142716923,7150.493764723023,8888.255588592809,9337.6374254757,8239.036405841147,7466.460908711823,7898.38456597343,8646.074950306067,9543.6455,8057.718522427263,6642.118199315025,6139.310981973364,6043.951841286993,6743.216589939746,5406.865959704235,5844.104259898613,5430.511523591929,5348.465708703933,6668.2074906210755,3696.774471498722,5925.754681745169,4961.548902299458,5302.273599213005,6001.56977589165,4861.714165348683,4071.0269746479144,3002.45318265112,3954.0500475431368,6630.4992751030695,5891.307351852967,6174.006759639551,5894.358980767324,6249.540820148373,5397.733614976655,4477.053023829665,5910.822375144722,2727.891854778454,3592.1797572646446,4014.729684129795,3252.210710492449,1740.431,2939.044098478562,3332.3321161969147,2954.4670174510834,1739.2241250696247,1745.0887214296367,1146.4545,2991.944290363876,1010.2028,3304.997211995461,2214.4503914766265,1105.8743272081688,1218.1730890930994,1399.4136757754363,2219.7190262393906,536.61346,1556.395661373101,1809.6486070947158,1528.1056485714976,686.6698528138807,1311.942192397407,513.7328,1625.6282792208383,2556.825175127533,1882.6085275588293,1583.5092819850847,1008.0703346390242,1467.5373353241787,2193.886338718439,426.9654565617485,1166.773765761734,831.2005488037397,1356.523191166608,423.5253223928143,1108.7277164123066,1401.7773093411756,134.72482
3,22.733623791569563,10.065261702222983,1987,1207,685,725,7026.662037147551,6636.740894312165,10064.048267702847,6770.884268705945,7004.724303993407,14759.643286013594,10558.66401417164,10956.704708489387,9559.548639696637,7948.276114781937,9259.46658869484,8857.505646583508,9012.133441048398,5912.075435292375,3215.8628163704084,2375.4841549387843,9284.188503907895,4345.222175965239,7690.733466708051,7505.228800600756,4636.870924802931,7291.638036433358,6813.756689575742,7405.527116457522,7530.601767178135,6346.203479169197,6963.161424772471,4819.522055522865,4990.53168460247,6373.392552747999,5915.2254033119525,5538.558867064994,5966.33447605279,5943.673129580612,6003.808037367443,4667.5854815304365,5665.884319854371,4961.322976370138,5171.003170812609,5423.229675870643,4906.023811743323,4110.883823595253,4187.341987010068,3572.3350918360297,5868.949610356023,6141.92922731708,6717.504836286139,6359.510763185598,5846.728288812767,5702.16930824603,5016.945176637233,4911.353261518805,3412.537544571038,3812.0160020901562,3210.7593576599775,3497.47621898979,3062.74666860251,2412.5125693343766,2675.5380245466863,3097.383682150762,2403.7556914910583,3069.6717277163048,2257.255901769878,2685.5488462481803,2042.3406339974633,3825.484395250329,3355.255781398155,1861.4383554801104,2964.5991708824095,2625.009990986268,2565.9528605659443,1795.0212130853033,2415.057560774453,2053.2549841034884,2614.874236681626,1660.5949012377712,1864.04195423411,1326.073822196456,1856.5060583060645,2149.2799761542774,2220.511602416359,1657.2380722162538,1670.733249088319,1721.2476395254798,4627.504098438567,1212.733672975837,1771.4309416635365,1470.141745687207,1469.2557841769012,1143.6433612853386,1287.3484381005633,1457.589904090878,912.7510354955291
4,17.100739899878935,-5.022984449566503,200,381,132,171,10957.035563320434,13534.860403795408,15118.650363659011,13685.665311971023,13990.638840636962,12804.79526456588,11729.672667741692,12125.500062018555,13378.727067908687,7798.675952912379,10719.86333243392,8829.479792398157,8880.089127239864,10279.743022546492,9396.018525097074,7288.855539009412,9954.748963447366,7330.538698814424,8337.551133414432,8188.57599657176,7564.040017592485,6317.584570744941,7183.921902308494,7564.514215445295,8713.87982105226,6825.724031206961,6448.612619891267,5791.276701819032,6001.983659723954,5931.29717800682,4517.476516372481,5193.851016472112,5231.654619042461,5363.310982257002,5945.944306310744,3884.0033024141053,5269.889783332039,5103.507261049554,4326.399384907374,4871.385281717148,3788.118776773387,3464.224411668174,3296.938640870739,3499.672802118604,6825.664494809888,5811.405649997979,6326.815724043669,4312.33137735157,5834.886132236039,4988.847562518304,4225.615452358052,5616.50755325896,3249.7361665478234,3205.8225616598183,3326.1160013339622,3043.171739988517,1740.431,2518.2528600289547,2429.8091469335773,2639.653291531313,1894.062573970075,1168.3356,1385.6665064035194,2299.9942486480277,1010.2028,2841.7070850383616,2620.746226695964,956.8862684014077,1166.7527759820944,703.1970350408533,1936.5185273688155,722.2840696879429,1469.7612172881022,1955.0840079383556,1512.3727326106932,1147.064680896353,765.5826726766489,826.5656600716871,2080.7998411114727,2235.347201201562,1696.8863282680918,1574.835443925716,1414.9323941753557,603.8509817250225,1724.2626282193255,796.5456976199919,1392.0141119265245,568.7847967439777,945.1232303301812,553.3009338937699,871.4611684072333,963.4542659991267,185.29592182004308
2,23.941,0.5656119730526967,1540,1542,1022,575,10541.958160416432,13894.388474899633,15576.19971816845,8113.345542495084,11242.21690813298,12548.261063813981,10660.540122004024,8871.635704017448,11656.263064188128,7932.172312124618,10196.014543153995,8731.355532478081,8886.164217314772,10204.036266992758,8873.287731469638,8167.674304498015,9303.844127465465,7117.072397775094,8140.659901060493,7098.7474421784045,7105.339261152851,7610.540260161523,7222.872043980817,6350.052751690836,7759.690362341829,7623.381605013963,6432.829679957317,5755.860671328001,5885.818861287502,6673.530704726641,5241.786163812778,5790.673746310309,5947.304743556024,6264.28946335573,6227.721103899952,4172.844942660203,5776.430566839199,5510.284608500159,4979.538437188843,6430.767838938797,5068.784405956646,4056.9138006915086,4155.753023811824,4575.999560429973,5798.728129210572,5497.949433835602,6506.127830462105,6008.3493544396015,6579.1181018554635,5578.630931480992,4701.49917171448,5665.2413347154215,3240.8036375132097,4092.303670396169,4033.261854749956,3424.743265334793,1964.6388949784332,2344.7292506709973,2827.5179464798925,2697.0090999753484,1708.0826921664925,1548.2627489722204,1983.31027078699,2722.586219813416,1195.0489301826449,2557.1917862663827,2360.965166327521,1314.9829004080307,1234.2238487601078,1100.069680475909,1606.2675203126526,1099.3709232794768,1313.3250956716013,2414.9451747455937,1529.5514127817485,777.8747751656098,1524.533389802088,513.7328,1581.3284612559369,2612.5698228120036,1873.7109900502192,1403.1383951125856,1020.9156503510704,1019.185117328586,1557.8662615444266,799.0834852734731,933.551206331965,824.2131225147905,1228.520694051705,991.4121611491795,799.1234503599547,1337.9225697447919,134.72482
3,18.983067093817372,-34.05823163542261,380,261,140,204,14018.945824298138,15340.75912560803,15544.724637608086,14642.209154553297,13742.497938401437,18252.74892618764,10450.169246435598,8836.421532809974,10423.312304557998,7514.725699015133,8765.496353713384,3209.3417488791215,4215.875270644069,8110.9168889869325,8805.186619556505,725.8093161229272,10249.872969954926,3854.3609948285007,8067.635213678803,7018.258280782283,6916.59237758173,6565.055540051138,7295.828361344104,7251.497617653331,7169.607867001682,6679.802110183948,6091.432975068055,6533.480503089435,5674.667095258824,6076.941311641459,5392.696209275593,5478.683825961376,5507.068150343099,5345.710795502567,5568.169240747554,4584.287346529949,4866.607433279316,4951.569127637401,6344.70764515028,5053.701494490984,4348.348826883236,4555.292304354782,3990.643143779508,4638.774089684946,1937.5353467200835,6492.775897931112,5286.835183813993,5491.49662408452,5993.121426721565,5520.943670463983,4785.599278994923,5903.105549207981,2854.3895149847954,3702.611764234823,4387.360299375463,4581.909331499813,4400.439193684665,3762.295559865199,2201.6788968851033,5414.92856906103,3127.1769636141235,2022.8016865824495,2167.2040254121057,2167.9154633832927,3255.8178632722406,3860.912763349811,2358.405732580039,1767.7376194723372,2239.153937278622,1880.2759984372658,2557.2269623149296,1891.514402429958,3050.0316185195293,2274.980734167726,1810.9702566249373,2872.594934459809,3339.6635238454423,2124.828182308696,1929.196256523147,2003.6331747298793,3437.3509431832745,893.7156237426069,828.0989473593975,1101.9457136930637,1878.0994596874543,1084.892828519411,1436.47337917204,2864.866414399429,1493.5492833666144,2107.952022832906,938.2235123064677,2303.7323053632936,1955.5127046064085
4,20.824203486751113,-6.704905865890519,994,1277,442,209,6892.990376532718,6270.819721340178,7637.117152822548,8264.237354037248,12410.605574778237,8515.415576031139,7764.8080346147735,10898.80673107344,11515.263940787701,11609.809747820815,13159.823787918014,11334.20871253676,12902.37808923029,14759.215939825679,12687.851711293542,10574.256038267313,13311.046,10007.515568086092,11273.55956795491,11276.641214503077,10353.298602795283,8519.334214900719,9028.720242365443,9318.37355049924,9257.891041212675,7987.585499595972,7442.248267722576,6785.484879549271,6253.959532401674,5634.708190811972,5253.209655591278,5505.802835428566,4820.114683907659,5434.731860154949,4829.957458208583,3169.073851631196,3744.3964294321736,4066.8601794134293,3707.8386066014846,3575.1706510423132,3505.5169772744275,2927.272202412728,2525.6784783056755,2556.7902415769663,8301.396399024126,8126.539831638015,6674.736951162913,6256.978258637579,5957.9238900243645,4858.285120723117,3362.005137261639,4259.964481960175,2502.5865007115326,3002.255388931232,2093.136799572315,2296.283127604251,1740.431,2278.1856202164677,2576.9600497118013,2489.3064007290664,1845.9123975413354,1875.5652955014893,1436.8274171771213,2815.3581365094856,1010.2028,2340.450064833615,2413.5095377259604,845.1444,1359.5960814452917,1749.2180320217344,1807.681403782984,1091.6715547822946,1470.209363046425,1674.4545737578233,1511.095740721545,962.0732292574793,1274.2940423873622,809.2017855229341,1487.176881716993,1880.8787855679834,2301.9559772532452,1229.4802386524402,1070.5824084394724,1510.9597776330254,2123.2253591361145,373.49797565945426,1057.159407266138,739.741012652312,1087.08072535187,536.5768431071779,846.1143393635003,1148.8508686619332,221.26697941538896
0,16.297619702479864,-61.86665493523799,949,481,471,550,5304.375967835307,7447.292331952024,6429.2558406462485,5057.551684594522,10138.846822425905,8650.891934614492,8501.734563787473,11580.737802260715,11519.757095021383,9241.053406344183,11320.7100914557,9422.930845124072,12805.274683256086,10027.780782343845,11264.039307832558,11422.721315444773,12995.686919069634,8904.429655487196,10330.436176670859,11930.621450954788,10343.157569927402,8521.861331307033,8789.148815498822,9125.06521125309,9119.950093564816,8593.68735385588,7348.246727266425,6720.104891900473,6575.0107100844225,6411.61449502117,5721.698879458613,5345.411323019367,5004.919478149008,5550.257640219981,6124.505281084764,3444.9731993900828,5102.025373226674,4612.656245248993,4596.647782819842,5122.860743696036,4591.318505948548,3778.6954082043812,2811.6879305479197,3718.7426434034965,7722.142106311728,7763.505485849602,6936.769549964333,6111.917333204446,6614.762632204532,5298.386648015854,3905.374721831703,4780.5817743955395,3080.193375992284,3323.6797151685273,3623.515705739039,3269.396705959328,1740.431,2478.022099127069,2870.8604997074217,3071.6255462635713,1921.7827907373414,1861.52155432448,1146.4545,2621.917195770057,1147.5662936179633,3133.4432045487015,2760.9563777121266,1302.4548205496026,1812.5006077951746,2274.7083289587217,2503.9302839551515,1165.7652914629787,2633.305237826878,2605.0556065039227,1995.3774447461365,1714.022830787283,1417.2120381844663,1694.8768134557222,1722.9450700747836,2698.144552422017,2251.3974643872307,1776.0866337991479,1658.3532989539283,1960.1644384922297,2154.6242879312986,841.5491729940449,1344.2474121080677,1082.821834464602,1524.190275342983,837.6229544808679,1054.4660494842456,1438.6128873144648,763.773439904352
