ID-type,Right-Ascension,Declination,Blue_base_1,Blue_base_2,Red_base_1,Red_base_2,blue-band-flux_1,blue-band-flux_2,blue-band-flux_3,blue-band-flux_4,blue-band-flux_5,blue-band-flux_6,blue-band-flux_7,blue-band-flux_8,blue-band-flux_9,blue-band-flux_10,blue-band-flux_11,blue-band-flux_12,blue-band-flux_13,blue-band-flux_14,blue-band-flux_15,blue-band-flux_16,blue-band-flux_17,blue-band-flux_18,blue-band-flux_19,blue-band-flux_20,blue-band-flux_21,blue-band-flux_22,blue-band-flux_23,blue-band-flux_24,blue-band-flux_25,blue-band-flux_26,blue-band-flux_27,blue-band-flux_28,blue-band-flux_29,blue-band-flux_30,blue-band-flux_31,blue-band-flux_32,blue-band-flux_33,blue-band-flux_34,blue-band-flux_35,blue-band-flux_36,blue-band-flux_37,blue-band-flux_38,blue-band-flux_39,blue-band-flux_40,blue-band-flux_41,blue-band-flux_42,blue-band-flux_43,blue-band-flux_44,red-band-flux_1,red-band-flux_2,red-band-flux_3,red-band-flux_4,red-band-flux_5,red-band-flux_6,red-band-flux_7,red-band-flux_8,red-band-flux_9,red-band-flux_10,red-band-flux_11,red-band-flux_12,red-band-flux_13,red-band-flux_14,red-band-flux_15,red-band-flux_16,red-band-flux_17,red-band-flux_18,red-band-flux_19,red-band-flux_20,red-band-flux_21,red-band-flux_22,red-band-flux_23,red-band-flux_24,red-band-flux_25,red-band-flux_26,red-band-flux_27,red-band-flux_28,red-band-flux_29,red-band-flux_30,red-band-flux_31,red-band-flux_32,red-band-flux_33,red-band-flux_34,red-band-flux_35,red-band-flux_36,red-band-flux_37,red-band-flux_38,red-band-flux_39,red-band-flux_40,red-band-flux_41,red-band-flux_42,red-band-flux_43,red-band-flux_44,red-band-flux_45,red-band-flux_46,red-band-flux_47,red-band-flux_48,red-band-flux_49
3,18.508079926694965,14.738392531094341,630.0,781.0,269.0,325.0,10030.451245601405,8464.420192142923,9028.615742968754,7890.461072799996,8502.130723238337,8850.933678576828,9507.077640037416,10109.907679660331,8928.605192379,9860.719298164422,9983.099637865416,10509.39413262988,11184.19485283136,11053.273197178272,10650.73027353426,10018.168715943906,10549.900274178639,9864.116668083983,9532.00269849139,9016.101501076859,9051.64977480576,7931.538844848462,7676.415664351063,8341.078312873646,8015.112644375291,7914.942063364399,7299.2649564397725,6823.074813192069,6206.61798692626,6446.072189795624,6011.687988299316,4794.965814611735,5271.0094651711515,4897.135956350157,4446.091920736861,4380.65801604808,4166.820218352325,4243.251994235759,4003.7749728457443,4142.110869441294,4153.905445057352,3877.6594841329793,3630.51167715613,4241.901097265845,9619.699799314154,8484.179794772826,7968.009380721942,6421.568847258981,5599.521929715121,4618.236616458424,3897.4965064594962,3472.5794218223537,3223.8038513162846,2768.6540068871304,2804.7677954824053,2791.741235626667,2503.947266535107,2765.232999872487,3011.823708834954,3076.3397325158144,2594.8487306737807,2764.5294805458484,2754.1083976208542,2394.84245682355,2713.9455168884106,2761.1154163760566,1948.525363478754,1933.838631286881,2872.2198208686486,3168.3058985990388,1825.9643760685713,1478.8769268643573,2220.9469046757354,1743.7036981667284,1263.118245263906,2797.006259664385,1547.7258237869942,1540.4164154802086,2264.223328616806,1648.472611185684,1497.1638183606485,1032.0517424675684,1286.8257445682996,1370.179313889665,2070.9574763639225,1133.8918309884123,1285.956539621271,1581.6515021394462,1122.4076475692127,1180.7274556834973,1348.8062594651806,595.0629124014253,1090.3260540550766
0,18.456770142704777,-7.0779369673468935,1990.0,2123.0,1076.0,1255.0,12885.169690967165,4058.759892087539,13128.13945965162,12656.487045677213,12027.119667308823,11269.949708548389,11610.194772511115,9004.201780585438,7511.727033031212,5990.017829924413,5075.664694070169,4295.47196634053,4199.550806742892,5184.323522140052,10612.592289318538,1572.0312403221062,10488.702421592141,8999.470115129987,8155.800194256987,7218.524958339854,7383.0747276906095,7042.644696417631,7061.017367344511,6997.118350256595,6559.544388226005,6861.012826028021,6533.094808030757,6612.91827865938,5732.907546129651,6156.864643244809,5800.736193762557,5555.632897525452,5840.512095462006,4844.236358654002,4464.79867619366,5119.9901450410725,4962.510908121789,4724.182627165488,4531.755475780751,4413.830578917521,4546.545328586648,4107.422728057118,4074.8793192130106,3972.5218531020782,7730.209367725889,1229.6093742246965,6556.189698197917,2890.606679060027,5958.887095495849,5058.350241164507,4780.432228298984,4502.756920826842,4086.3288710165257,3633.6217173544055,3212.7741217809726,2972.3873525322633,2796.2286124975076,2438.1021821975028,3009.091757974027,3081.803859759005,3090.7209449072793,3634.8600190624425,3854.5078837771653,3891.3794474757674,3657.510547505552,5480.517424160957,3463.9870372274163,3397.01283103026,3330.482495398573,3097.081529515682,6351.337015813325,4073.4127720789274,3793.3602411933553,3017.3705147474075,4743.04826962356,2413.591432553732,3231.541056386349,2828.741821248245,2163.936211089057,2530.6905736327562,2417.6925262629925,2588.785041286827,2658.9298725658086,2107.2747700553023,2304.7469817308215,2475.033121898976,2376.2988260931475,2250.340084863298,2467.528254071079,2310.806365863741,2472.924618072323,5547.363410674673,2227.7673454598703
3,15.882967176065023,-5.378494893736278,521.0,2521.0,236.0,338.0,21103.681498028145,20806.219590703673,22657.63988938409,10077.557199861401,11680.495471780168,11812.112625572167,10722.02934409112,10034.267678906253,9591.231002101766,9753.552232883798,10277.931320294501,10615.700492825008,10213.814233503294,9818.207313607663,10666.033799890121,10204.08085402052,3818.3941098400255,7829.5223986735355,8615.706570777518,3705.0980183468096,5067.3367640803535,5067.386394845045,9922.369757800321,2922.009917623941,9443.705319051995,5004.667213159267,7061.232696173533,6715.920857098498,5529.187502509563,5877.875051380957,5501.347914516208,5044.3259516999715,4707.846566387641,4421.722658044566,4512.1505133024,4900.2213887678545,4525.219436506463,4339.647919108449,4453.872897699238,4212.4336074126395,4026.810688551922,3925.6417033513503,3525.3887350544483,3760.8793517439058,483.16543382324795,2214.6640228685374,4490.068721182066,7533.165801238155,5173.3499500588705,4759.045994338704,4688.408646621119,4466.4879514743125,3942.6302458349214,4005.357897880234,3670.749178654125,3437.981012064514,2168.2484413789552,2110.7100804320667,1942.4829491562768,1450.1197005023769,1519.9142899998708,2130.456514283459,1435.4213490981765,4271.887985902487,3589.1474499087626,6246.816703402788,1052.3483790917498,1065.7209702502423,5978.792667842821,2083.4336000069497,1114.3911573557218,1177.9118866406309,8479.666544075006,975.6778387450953,985.4690962392739,1429.5695417463928,505.2546049066982,822.4036765426767,1555.887072890815,2565.080989364399,360.42708688144273,546.3020939854364,712.6329842216586,398.6668181000607,2070.7321397466812,382.1349062240198,899.9224749999516,3399.514720862115,4095.340501317077,401.37370308411073,1983.4997996553839,1885.9126159599525,3002.790123014336
2,16.380441199623846,-49.63760160163073,3065.0,3168.0,1567.0,1390.0,13115.022842406845,12404.097964806755,12178.031899450896,11225.044230651125,10865.718899945912,11547.61011910193,11502.236810195978,10463.784516147103,9859.320396516676,9736.062274557145,9506.71951443661,8968.066502223643,9117.144971251559,9349.076313487973,8745.559047697081,9470.796354437476,8855.049804152834,8542.854525717004,8384.963289683008,8026.860311644269,7791.459625584412,8136.79756224088,7547.289834207039,8009.337074593418,7288.438177115606,7081.748922701748,6446.860732254132,6731.748511430453,5928.555454258886,7001.3734451163755,5883.163339400161,5908.840140878755,5359.72413245631,4947.471154817775,4895.105944260765,4778.691265716533,4604.146981017281,4313.183486454777,4494.537103442219,4512.032835321868,4328.833990917165,5592.022721781746,3896.727964321901,3797.337197672088,7197.626064127205,7321.055817982458,7093.764262514348,6342.127853097673,5784.521584305849,5138.947504541292,4722.907275035457,4542.990654816205,4026.7812205218074,3548.699283978951,3263.904373834055,3502.5426296487485,2632.277862752666,3119.9381137715795,2498.4387479256548,2400.2709356394257,2621.49883732958,2675.4417256649076,2451.7707166040836,1807.5470308184545,2057.872861736713,1954.4961565469919,2565.278319455153,2364.0176655698747,1992.0387384140186,1796.2893261001316,1556.5143464137375,7647.367102923778,1436.70962719684,1963.346557070191,848.7084272921148,1640.0118065357933,1640.3384159162342,1604.9973548570465,7472.505532002032,1493.5261605746607,1378.0364676386673,1392.866668472185,1182.2963649322571,1160.5300736417455,1437.2749654628497,1696.2825578156167,2137.303815024609,656.3945589198805,905.1973512553436,8348.584710473491,8679.301816773826,877.6870091007195,6825.009346480316
3,13.563190419660133,40.66089231338418,1192.0,1235.0,613.0,681.0,9864.972265917584,10306.86254308347,8456.092964775486,9356.548868361568,8220.34991382645,9321.438911611098,8800.802508514667,10001.34938101514,11819.932490372517,11735.794229479781,13029.789524036278,13037.501723792944,13048.343526970413,12294.076898566218,12714.167126998636,11720.497884625753,11820.132732620765,11294.961043791784,9695.27920245311,10364.719194865738,10186.90319298435,9717.850097226728,8729.927745596688,8036.206906566862,7592.596759514717,7598.985696263191,6617.778719878946,6641.422261040122,5823.982288416323,6591.273747919128,5605.250475812902,4738.772489653634,4821.903105999661,4618.467368582856,4089.4563667730595,4196.30460526584,4179.704276368287,3775.722194489822,3814.172780474365,3642.6810870775166,3472.9228962578136,3647.766329657788,3154.8666132575604,8700.417238866632,4745.2167225067105,8566.865419752525,6908.702440693722,6319.502994132934,5751.130986640138,4157.664829480742,4039.563306925399,3522.738602483838,3170.663275933714,2425.645645446208,2220.038195905484,1880.3411461146814,2146.251140709243,2210.797276174434,2580.6084711756735,2299.4512900128816,2032.3608381166666,2155.227752775828,1973.4614699307813,2251.4302002251634,2020.5756408200157,2214.6152133879873,2311.515117190719,2309.4101969445655,1810.5427090054673,1823.3060904648862,1697.7877188228922,2005.6255134041094,2535.836032006024,1769.066161331768,1681.422289387262,1651.450931586969,1970.6439396346898,2006.2282629316553,1799.635339655073,1388.4196844881906,1341.1436542883491,1703.373463152447,1343.038183985286,1540.9188506665025,1085.984372253356,1168.0353302543153,787.0278068894943,909.5179487186783,1283.3183168685773,792.1031632507425,1344.5136970715776,818.4006829838174,1114.6612994798818
4,15.280287917163076,10.369167045241628,197.0,226.0,112.0,38.0,7714.684144301173,8455.609816000362,12337.140263951553,12522.491795552107,12609.765716322761,12475.472558774454,12477.659218982553,11939.712200324522,10821.068400625134,10367.729752501435,10231.968290112203,9458.452630795042,9408.92450658212,9683.393261331856,9836.046108779727,9300.234720867433,8800.288923954242,9323.561686615907,9175.785177399996,9374.285464124267,8870.573831091697,8047.80268620905,7573.668000548946,7769.152925938794,7242.533447793135,6943.801527322919,6764.449975901689,6097.56508851811,3770.5202712195164,5652.771051152938,5530.381418588475,7564.254586661395,5770.542664154859,5372.106336974898,4572.303913804456,4343.438771676191,4091.297650030238,4214.88504852234,4426.42082122103,4394.050757141102,4282.772998758007,4206.058137424345,3700.9351157526876,3969.28786739198,9602.846759917406,7944.264658913387,7191.938585628505,3874.7952583586675,5216.584504679037,4939.031620658484,4166.000513140041,4069.281197518467,3434.1998429156815,3292.0642712483423,3288.826566400489,3348.5894121874185,2576.7543231228565,2840.9732334899513,2034.724575002827,2148.4569547360466,2093.930601650835,2016.1061318059537,2097.694792764173,2120.4668197721926,2219.44678959281,1984.9159632225305,1652.5641761514573,2160.8809153615484,1742.3685045411282,1611.1239482537474,2156.7748368748375,1953.668287611445,1657.1110369478688,1972.123002959713,1347.5347071714175,998.6029327491451,871.8162301954856,1643.924187599729,940.4620202667002,1438.7962025055585,1320.8622530017844,813.5162932993145,781.5498174162198,1442.5913157714942,981.6236612454622,1005.622963674804,945.5707965441902,1340.420899676949,1155.0502102651044,429.27340790578387,1353.8743070208313,882.7204282922087,794.3493893488587
3,17.285306082733232,-43.16033944063379,106.0,92.0,45.0,94.0,5888.2844486195845,5675.741655931978,6505.305737073157,6078.192419800885,6671.370977804649,6882.1671021655575,7242.100321320104,7505.332476094292,6502.254396436918,5521.170248872693,6671.074959574969,12183.302711234897,12505.987827239129,12379.3496072851,12232.460659351587,11552.278225737466,10902.879606031427,11145.786499991842,10563.695942277318,12290.46280207016,10560.246153988808,9612.095820123472,9690.941289462606,9328.005414659561,4816.682394667351,3839.0510005067645,2118.2267336052064,2423.148407314259,6889.397002389647,6443.196605712741,5645.184350264631,4266.012984040256,5091.897600172428,4763.620598012218,4676.353242329878,5695.929565416281,4313.9893404606655,4144.510321319879,3651.008031816686,3749.4788291435952,3264.2014652575394,3705.6902221426694,3158.1872938882975,1859.7851072033325,9970.397085470257,3277.4229698326035,2238.2968136679897,6547.680736715971,5551.521077350529,4850.0719166805875,3661.3157039438347,3455.1737192281053,3106.810679200511,3520.0574875261264,3373.1377060990785,3799.0323173002785,2136.6356072769263,2499.8760429794097,2494.378676343688,2243.354288212562,2267.0038310648697,2368.5859597473254,2653.1041704946556,2878.2010701816484,2628.2139891006304,2681.249453857735,2692.2763943360483,2619.858564209787,2459.903579782347,2460.4671713133184,2504.389411583802,2051.7595491834113,2465.799840254728,2166.709547743685,1874.5795217405932,2134.68163825424,1675.8289714104812,1772.7497347438127,1325.9509810559687,1389.5046976934188,1612.9920854240502,1476.3327792224868,1576.1688540203065,1157.4931113846203,1385.3684827686434,1687.8824841422543,1731.8260981326077,1240.5877943759285,1379.7057622265975,967.0364073064147,1457.1283896006305,1139.1592320566886,1679.5768866659919
2,16.406785771655237,-44.16750130096151,2160.0,1909.0,1650.0,1444.0,9214.482239045565,11301.112267705463,14940.795228099276,13952.499654310115,17619.887249670945,6902.841422614018,3408.9945615945826,3589.2708668914615,3841.0796804812708,7087.517598431445,12881.849929023945,9405.524057094583,8775.959538081981,7811.026661795713,1960.5679068686102,5309.342897113203,5984.252729033116,10413.122700268126,5216.674626117602,5596.144952954546,1633.9616047966413,5255.270699449327,5336.033487776793,5244.92349149598,4912.305210465993,5634.984189337134,7866.006732457404,7896.618077742786,6498.388054564325,3926.8806550545182,6722.869578763112,6484.0412318500075,6132.429172756553,5521.261784547982,6035.2691793457925,5721.681772804557,5409.872042430534,5248.368249074338,5292.63527558314,5177.920303970718,5561.564698023743,5594.852921553941,4585.242667465346,4880.444095952511,9150.25190051458,3082.96872539234,8279.536286647664,6347.795678022159,3452.525086738039,6181.701086104411,5522.901671511215,5227.653038572823,5859.592801305226,4410.8911945418595,4102.872881235517,3583.174484215863,4770.747952944589,4871.322872841152,2877.563652742063,2911.592995131564,2604.409613648279,2682.9041663378757,2002.1974461670995,3432.14069286797,3377.979097094637,3118.2301749415165,1857.3434587480795,1832.9992184829825,2936.785063148715,7681.003024045308,1818.924764023034,1985.2198369795394,6860.207881863333,1527.1928598485706,2322.0699051238776,2831.0068625728627,1248.2934229879347,1547.1736749499491,2701.869638787495,2137.776027448217,1169.8616555702959,1065.226439103296,822.5783432412366,740.8333736108677,1845.5616004231688,622.8067940902168,1600.2679108210589,1923.5564155130944,5182.090548781286,727.3779380084912,2080.5994575584314,2085.240371261269,1769.556297609483
3,17.10301263259401,-22.27180971121005,328.0,254.0,145.0,209.0,14407.736767758794,14779.61186092985,14602.19852754866,13780.04109611061,13484.3614570918,12847.557547873388,15733.10618737385,4058.351686757588,11150.94398194882,12794.051715784928,11308.198802895939,11283.546842376174,10799.446253947683,11016.669631923913,11977.602333751453,7321.692764227452,5920.103775289597,5485.646153088398,3868.6690423432256,3065.836064265567,1458.015445884821,884.329414459572,5976.3725712148325,3911.4623135949455,7630.269555721399,7876.978594922254,7391.559439592696,7044.28067136289,6414.894203410636,5833.616677094982,5990.437441506524,2687.6423864618146,5014.779015907808,5248.210344593068,6099.18772932689,6119.1522934878385,5979.708956487731,6052.654116094318,5728.628215833731,5704.262402551237,5623.749831329689,5575.705642760384,5357.159678560106,4626.5246627552115,9095.654869666416,4128.705504374367,7726.42220453518,6474.5633460791905,5894.918827587434,5983.809312110845,6076.003579628494,5380.487423408922,5082.254318765584,4957.451469001075,7904.02674442712,7141.277560373331,2956.1112419691,7389.408271719795,5932.994286979455,5729.816719443953,5365.576843560945,2985.448085849205,1924.4456212299015,1715.0336383183346,1787.9895389839387,1386.8234177914755,1754.2183264663465,1947.5949004796842,1684.9294214057827,1384.6996760035395,1342.0516948702043,944.9847940527173,985.2606246587029,1578.7560386637228,942.8568572946797,1142.9922786437035,1512.1797324696572,1365.7477288904859,1041.2353803919818,1135.9345616719816,1186.232566831673,1133.7029311977878,756.9708030846568,901.0655514123931,830.0338804468939,1069.1762673094843,862.9147072088431,656.9716464617474,654.9577146648134,630.0908232455529,646.8354820319794,882.7298752627404,499.2665381174201
0,20.726778902212615,-30.635870530235096,193.0,122.0,124.0,161.0,15789.58333565268,15153.201720216548,16218.576277697504,15710.895310427755,14170.350289578251,13055.138705393741,12982.189103144072,12061.934461699222,11222.479282649112,10836.970343440707,10211.48461892993,9480.848729452997,10156.655834692294,10246.122407412508,9816.102682651102,9597.73097666753,9196.660237248081,8706.45993050247,8383.391618664957,8225.154599437119,7584.344138055813,7439.82576790441,7678.314799379484,7998.0047525489645,7658.057923303334,7706.9401855264705,7222.583891387263,6971.132216118375,5008.063212458188,6660.911705525487,5902.134709815571,5022.39487899362,5552.709039370292,4679.782992859949,4223.126034368879,4513.309110560635,4253.376557877104,3750.413721971475,3702.875010247293,3443.5979853329695,3920.4918461072402,3317.6231067483004,3334.4015748102684,2901.9294561420047,6996.163963984154,8182.310324015545,7689.609829123221,4518.353590375186,5891.801880420353,4285.244659542146,3988.504911529319,3457.320158560967,2520.4760827235505,2828.1403841060433,2760.2938698562275,2923.984663525714,2879.7622645655206,2789.470821330912,2324.6493768809864,2457.2373291780505,2156.4824906581257,2155.646093789681,2065.0912938631704,1640.4061021120729,1642.6844690439777,1693.3080228206536,1853.9729295597044,1585.7040217079275,1658.667697693184,1517.5857346336086,1575.9115065004698,1708.5920944598442,2211.131518554313,1287.9730887267635,1594.244249277147,1072.5839872103163,1136.5749916727887,1071.6888888191459,1157.5849708312653,794.7742167698509,1120.1555441913208,1009.5878190388426,1045.8050866784097,1130.154347490735,963.3879109602724,742.5997623032678,912.7218788818831,470.93253383120975,868.5504200458329,857.4660490307972,476.9246280163527,919.7350828847104,556.546701425619
