ID-type,Right-Ascension,Declination,Blue_base_1,Blue_base_2,Red_base_1,Red_base_2,blue-band-flux_1,blue-band-flux_2,blue-band-flux_3,blue-band-flux_4,blue-band-flux_5,blue-band-flux_6,blue-band-flux_7,blue-band-flux_8,blue-band-flux_9,blue-band-flux_10,blue-band-flux_11,blue-band-flux_12,blue-band-flux_13,blue-band-flux_14,blue-band-flux_15,blue-band-flux_16,blue-band-flux_17,blue-band-flux_18,blue-band-flux_19,blue-band-flux_20,blue-band-flux_21,blue-band-flux_22,blue-band-flux_23,blue-band-flux_24,blue-band-flux_25,blue-band-flux_26,blue-band-flux_27,blue-band-flux_28,blue-band-flux_29,blue-band-flux_30,blue-band-flux_31,blue-band-flux_32,blue-band-flux_33,blue-band-flux_34,blue-band-flux_35,blue-band-flux_36,blue-band-flux_37,blue-band-flux_38,blue-band-flux_39,blue-band-flux_40,blue-band-flux_41,blue-band-flux_42,blue-band-flux_43,blue-band-flux_44,red-band-flux_1,red-band-flux_2,red-band-flux_3,red-band-flux_4,red-band-flux_5,red-band-flux_6,red-band-flux_7,red-band-flux_8,red-band-flux_9,red-band-flux_10,red-band-flux_11,red-band-flux_12,red-band-flux_13,red-band-flux_14,red-band-flux_15,red-band-flux_16,red-band-flux_17,red-band-flux_18,red-band-flux_19,red-band-flux_20,red-band-flux_21,red-band-flux_22,red-band-flux_23,red-band-flux_24,red-band-flux_25,red-band-flux_26,red-band-flux_27,red-band-flux_28,red-band-flux_29,red-band-flux_30,red-band-flux_31,red-band-flux_32,red-band-flux_33,red-band-flux_34,red-band-flux_35,red-band-flux_36,red-band-flux_37,red-band-flux_38,red-band-flux_39,red-band-flux_40,red-band-flux_41,red-band-flux_42,red-band-flux_43,red-band-flux_44,red-band-flux_45,red-band-flux_46,red-band-flux_47,red-band-flux_48,red-band-flux_49
0,12.77,-68.761,632,737,400,508,10228.308,10334.97,10236.572,10063.33,9721.122,9581.021,8925.273,8849.463,9155.253,9355.323,8710.4375,8503.861,7727.809,6795.8325,6526.449,6104.124,6852.826,5912.7573,6642.8696,7079.2085,6941.8647,6520.226,6478.9473,6333.7964,6151.0347,6211.677,6063.098,5928.372,5902.9526,5918.1865,5894.091,5565.5283,5060.625,4829.5283,4885.1025,4569.976,4680.5327,4449.4087,4432.3936,4616.722,4195.03,3941.5464,4000.49,3835.873,6314.7837,5936.925,5978.948,6023.69,5480.252,4951.9727,5032.524,5018.0156,4337.847,3884.6316,3787.405,3505.8384,3272.9802,3120.5386,2915.324,2929.1719,2749.04,2511.2961,2004.0759,2074.8196,1883.3245,1908.7389,1835.9402,2040.6511,2040.8427,1924.8666,1772.468,1533.979,2082.0615,1530.803,1653.843,1888.874,1686.145,1592.6515,1424.4507,1435.6027,1366.4379,1234.3544,1294.3353,1231.8556,1122.9838,1109.7988,1097.3147,1208.2366,722.1147,1087.3271,1134.5847,1054.5977,813.94653
2,19.541,-59.327,423,364,222,294,7154.753,7420.2837,7375.3223,7355.8726,7389.7124,7853.3994,8374.492,8878.818,9718.586,10386.57,11374.522,11199.348,10455.129,10522.312,10253.705,9850.835,9853.146,10008.935,9286.3,9035.237,9229.895,8798.846,8445.919,8050.154,8060.888,7050.5664,6858.2256,6841.6655,6525.2227,5638.7944,5422.9165,5147.0723,4750.2563,4522.1553,4260.848,4074.9038,3913.2488,4230.9683,4121.086,4152.697,4218.187,4071.0525,3789.6995,3624.1606,8709.605,8435.916,7180.604,6329.5767,5353.2637,4486.2393,4262.314,3766.017,3492.0676,3415.3196,3132.7249,2908.6353,2882.8845,2727.0918,2686.01,2600.848,2699.8477,3199.3696,3213.048,2850.4722,2874.0522,2891.3003,2810.7002,2815.262,2827.9604,2605.7878,2560.3298,2530.6846,2486.2563,2454.2878,2293.8904,2242.5168,1993.6791,1853.9939,2360.7344,1732.6215,1836.5197,1723.6238,1578.057,1988.18,1511.0533,1571.2014,1498.7542,1447.2068,1576.973,1300.9063,1727.9224,1313.9675,1153.6017
2,14.477,-62.255,747,892,425,394,17650.422,16373.927,16136.95,15236.679,14521.488,13630.754,13473.54,12998.399,12772.632,12084.735,10130.2295,10027.27,9860.151,9461.257,8948.246,8509.778,8675.37,8150.066,7941.147,7612.388,7149.03,7210.0835,6985.9097,6787.1685,6366.734,6332.327,6195.869,5758.407,5151.4395,4918.1626,4715.977,3547.166,4733.7803,4413.1606,4401.7007,4342.605,5128.911,4951.7847,4637.8774,4803.492,4863.4556,4663.4473,3989.351,3968.3022,7157.074,7077.617,6535.884,5580.7246,4719.2246,4529.288,4196.147,4207.7363,3507.84,3662.1262,3591.2231,3232.4795,2920.5288,2752.9802,2412.5256,2168.8562,2106.0337,2048.3877,1838.9188,1808.6505,1786.0555,1632.19,1596.8755,1489.0878,1608.7367,1333.1125,1402.7526,1294.6177,1252.5273,1135.5394,1253.4125,1047.0546,1076.278,1021.2161,913.7209,978.39636,984.3242,833.7648,919.9926,975.8999,916.7563,743.0738,783.6232,719.2321,739.24524,926.16675,207.77437,375.8429,670.62964
4,20.414,37.699,1928,1875,817,754,14022.271,14536.855,15572.456,15027.514,14094.124,13424.855,12789.339,12754.388,12058.271,11120.852,8849.274,8741.061,8785.541,8298.18,7936.6123,7669.5264,7634.099,7766.6055,8379.678,8325.698,8473.615,8336.963,8372.476,8070.175,7286.0093,7142.8853,6583.8276,6535.9966,6328.7603,6531.4937,6116.785,5564.8525,5359.2393,5120.319,4671.4014,4515.4556,4293.518,4299.951,3802.928,3740.8596,3647.8455,3486.537,3307.9272,3047.1372,8519.466,7759.2065,7454.6904,6513.79,5728.8667,4988.3584,4403.526,3483.6995,3178.4675,3404.0288,3004.6074,2618.8289,2529.3774,2386.4302,2151.1692,1992.462,1743.0267,1836.5844,1839.8162,1455.2535,1530.7305,1296.7004,1451.4423,1247.8301,1296.4791,1061.4297,961.1908,1056.0916,1230.6566,911.05536,896.64044,858.17206,719.69794,802.97046,896.1439,1079.9883,853.31525,580.9335,833.59283,574.81,638.9738,595.3648,546.83704,635.5052,1046.1038,358.33365,917.3693,663.6404,546.3
2,19.85,24.795,2057,2165,1003,1016,8127.8896,8084.9556,8117.0864,8056.902,8011.0083,8376.213,9129.231,9725.016,10088.461,11575.923,12373.945,13010.683,12196.523,12461.549,12184.527,11989.889,11687.422,10818.964,10556.547,10546.118,10077.1045,9616.63,9204.322,8847.418,7967.121,7758.8145,7239.4663,6995.975,6282.0254,5862.3735,5224.465,4885.645,4400.7427,4646.1875,4096.5767,4049.3794,3735.1697,3839.1387,3399.0894,3266.0105,3356.2346,3899.1985,3096.0417,3352.811,9971.06,9001.644,7711.513,6642.143,5178.593,4391.2056,3720.0603,3348.0918,3141.9045,3283.4424,2521.7568,2438.596,2287.771,2253.3435,2108.9197,2310.4692,2219.5288,2504.4214,2411.3955,2421.1914,2329.7075,2340.0308,2452.4446,2333.573,2212.2708,2117.9573,2195.2712,1757.217,1884.1775,1966.9854,1742.7292,1593.7543,1593.7673,1634.9967,1542.7507,1504.2081,1363.1398,1262.3523,1306.7173,1195.8076,1206.3666,1175.2058,1058.1744,1503.6708,881.72974,850.5682,1072.8802,968.9823,812.2436
3,19.263,23.732,475,483,187,233,13609.578,13796.184,13833.378,13887.094,13947.227,13063.266,12389.342,11548.759,10564.214,9280.305,8417.993,7979.3237,8075.9253,7804.2314,7606.8184,7412.327,7428.8125,7121.642,7134.8906,6746.662,6780.159,6755.2173,6867.431,6661.122,6349.321,6653.995,6573.6045,6401.574,6328.0117,6319.7666,6235.1313,5758.614,5674.528,5506.2354,5065.5015,4937.5264,4954.7393,4431.7813,3843.2817,4834.5483,4623.065,3913.64,3968.6387,3670.109,6962.1733,6711.478,6660.964,6825.9424,5815.0947,5351.877,5264.955,4720.33,4681.7046,4613.554,4409.779,4509.5874,4008.3687,3539.2358,3378.4097,3603.435,3465.9204,3407.3965,3374.2363,3397.424,3194.7695,3143.1177,2831.163,2716.087,2713.4702,2860.1462,2669.4036,2399.9688,2373.3447,2461.5115,2198.861,2275.5776,2197.161,2070.8843,2103.1638,1732.6215,2157.5928,2170.41,1994.5685,1971.9695,1552.6954,1623.2556,1823.7488,2046.4324,1838.1355,1532.3698,1603.367,1663.3457,1574.4796
2,23.224,32.351,1679,1910,734,790,8127.8896,8200.981,8606.851,9094.107,8406.312,8752.472,8685.056,9051.173,8456.066,8576.422,8160.992,8829.013,9588.102,9156.071,8851.718,8789.713,8093.2754,7966.8525,7830.289,7790.9136,8203.031,7628.0283,7578.734,7332.2876,6974.893,6327.747,5832.353,5630.9517,5696.3203,5727.6597,5836.6934,5588.3774,5359.2393,5342.0425,5145.1035,5074.3804,4809.557,5368.799,3779.0645,4199.047,3647.8455,4008.9607,3901.021,3791.7375,8077.2725,7278.689,6342.8887,5954.179,5668.1206,5373.215,4405.2065,4223.99,4027.846,3498.0137,3468.4207,2704.0269,2628.879,2628.9587,2510.0435,2327.6318,2047.8628,2158.0876,2038.9218,2020.569,1916.6006,2084.7737,2039.3524,2040.6511,1982.5492,1843.2717,1598.2819,1378.4287,1906.9626,1691.192,1503.6924,1182.9712,1574.2191,1565.0352,1440.6207,1053.7267,1062.7854,1148.4789,1105.5695,1141.351,986.0131,884.0161,868.2648,999.8916,881.72974,917.9862,917.3693,702.0925,636.3611
4,13.288,-60.079,191,182,127,105,26642.691,23335.854,21891.914,19834.855,18378.822,16660.473,15321.381,14300.488,13441.656,12642.496,11818.067,11205.668,10329.876,9636.27,9276.969,8760.486,8292.254,8173.9824,7588.044,7431.414,7229.071,6573.9434,6395.733,6043.506,5563.909,5388.5693,5213.063,4951.8286,4658.0215,4402.238,4559.474,4341.5176,4253.5464,4233.76,3932.8562,3755.591,3829.6982,3599.1294,3372.58,3128.9128,3262.5342,3147.6619,3208.2336,3073.2607,7069.4263,6346.881,5505.96,5307.758,4273.338,3861.0593,3804.2078,3210.0276,2879.9072,3006.5579,2779.8142,2519.1475,2326.2056,2178.5137,2060.599,1873.3589,1821.7928,1423.1315,1192.5447,1432.2319,1474.3134,1049.7838,976.32684,1345.6086,1116.03,1043.5391,1080.0729,1036.3519,865.9986,780.0923,638.4855,799.07544,719.69794,757.8545,653.0132,595.1507,723.9918,522.3926,584.2267,596.5484,690.6522,453.3091,510.6519,-15.282752,558.5312,454.874,444.00757,475.48456,282.75125
2,14.477,-60.013,2498,3259,1556,1940,4157.8867,5160.725,5084.332,4860.5244,5093.501,5297.698,4012.962,2873.3872,1215.3859,1267.3188,1292.6779,79.945,483.3831,-19.602943,498.0766,95.113914,1773.7969,3414.3298,4021.325,4391.5835,2757.8916,1211.9419,3003.4675,2968.894,2950.5474,4346.1616,1992.1887,3483.6418,3908.1838,4860.042,4516.413,5286.6196,5792.672,5893.696,6165.8223,6110.584,6375.353,6363.954,7185.587,6300.0195,6645.7153,7923.5205,9870.622,5425.5117,2526.3174,2602.666,2590.0376,3592.8105,5437.2217,6248.6064,6065.433,5370.643,5110.3975,4838.279,4788.8213,4612.3193,4823.19,4970.722,6053.785,7490.7876,6096.571,6193.053,6568.9307,5760.5674,6051.2437,6335.0645,5460.4063,6533.6016,5105.646,8100.81,6778.598,4241.718,5873.934,6822.607,3816.6824,6915.406,3300.442,6556.6577,7026.5337,5552.8486,6430.0195,5862.5796,7124.3296,8225.207,7487.234,8167.458,8044.4478,8633.77,6497.6353,3856.4412,3924.4795,3134.1384,4753.5283
4,19.881,18.409,648,680,427,419,18326.213,17255.135,16083.56,16043.367,15229.869,14509.347,12803.525,12061.647,10570.538,11161.766,10814.171,9857.972,9349.522,8782.541,9061.372,8500.08,8483.091,8157.0664,7855.3022,7612.388,7334.741,7045.7476,7221.7197,6826.2373,6585.1694,6421.19,5832.353,5324.0254,5179.278,5516.1655,5304.327,5245.588,5049.003,4773.2495,4318.0522,4366.434,4231.1475,4129.0586,3868.4556,3845.95,3927.8647,3450.2268,3516.3948,3621.2332,7511.962,7003.7544,6462.5107,4895.7827,5177.265,4775.0117,4334.0103,3887.1538,3638.3953,3276.406,2970.0234,2713.193,2491.1626,2446.018,2321.3665,2104.2798,2058.88,1926.3776,1902.913,1697.4615,1737.4275,1672.1024,1683.1005,1536.0339,1585.7727,1379.7666,1296.1447,1213.8351,1230.6566,1259.744,1253.4125,1022.9112,1028.0609,1006.4532,913.7209,806.90894,940.21655,749.9542,919.9926,961.56525,974.78094,691.884,814.2082,755.927,863.4747,963.2205,559.23724,526.65265,541.9089
