dataset,size_rcds,size_atts,model,avg_cio_value,avg_cio_error,corr_mat_diff_value,corr_mat_diff_error,mutual_inf_diff_value,mutual_inf_diff_error,ks_tvd_stat_value,ks_tvd_stat_error,frac_ks_sigs_value,frac_ks_sigs_error,avg_h_dist_value,avg_h_dist_error,avg_pMSE_value,avg_pMSE_error,nnaa_value,nnaa_error,priv_loss_nnaa_value,priv_loss_nnaa_error,cls_F1_diff_value,cls_F1_diff_error,cls_F1_diff_hout_value,cls_F1_diff_hout_error,hit_rate_value,hit_rate_error,eps_identif_risk_value,eps_identif_risk_error,mia_cls_risk_value,mia_cls_risk_error,rank_,u_rank_,p_rank_,time
diabetes,small,few_atts,ctgan,0.10011466509749192,0.09244969987391372,0.7529757750010083,,0.7714491251365847,,0.2189648932319942,0.04576800886893484,0.8888888888888888,,0.0,0.0,0.0591415022120656,0.001984627074234597,0.8640065146579805,0.0,-0.03391993457140052,0.002850644221761274,0.03657870185259232,0.01839140547345976,0.038961038961038946,0.01893166199625097,0.0,,0.1449511400651466,,0.4077922077922079,0.01995102791654183,10.187140200113047,6.773803482541801,3.4133367175712452,131.92785779533332
diabetes,small,few_atts,datasynthesizer,0.5441531812757237,0.11396650488475464,0.7293375534270032,,0.9931245857370846,,0.11327933405718424,0.052870391884687784,0.2222222222222222,,0.002041560271929919,0.002041560271929919,0.0017613998400451878,0.00034421556296480773,0.5203583061889251,0.0,0.28104862021800125,0.0030188858983237407,0.009736105557776847,0.01825046832667758,0.04870129870129869,0.019208051243829932,0.003257328990228013,,0.3925081433224756,,0.548051948051948,0.05168765907047377,11.348056543801219,8.57292258438387,2.775133959417347,17.67282091066667
diabetes,small,few_atts,synthpop,0.7212092733628857,0.09182080297302304,0.26209005142829345,,0.2677669476916407,,0.02624433586681144,0.005257017947268957,0.0,,0.0002700491225469923,0.0002700491225469923,0.0009013880809737396,0.00013340570953949198,0.4332247557003257,0.0,0.3735934261178562,0.0035421317338267862,0.03621218179394908,0.016152181122196314,0.011363636363636354,0.0076717786140464315,0.009771986970684038,,0.6156351791530945,,0.9974025974025974,0.0025974025974025983,11.199167322571935,9.195570512216168,2.0035968103557678,0.0112894266666666
penguins,small,few_atts,ctgan,0.0,0.0,0.9625197960038773,,1.1376080827223791,,0.13207681940700808,0.033398023344214,0.5714285714285714,,0.016503007332170187,0.009387897534773077,0.043060270542268325,0.0035726546945477606,0.7849056603773585,0.0,-0.09287667487011209,0.005653198948558544,0.08207547169811322,0.014751411104822535,0.13043478260869568,0.0243949394646427,0.01509433962264151,,0.17735849056603772,,0.8742857142857142,0.017142857142857133,9.85071329617135,7.010328515515855,2.8403847806554947,91.33683194533334
penguins,small,few_atts,datasynthesizer,0.8422222998247831,0.0777735789649114,0.3043830203487388,,0.8051109905705442,,0.0388088948787062,0.009701965838448859,0.0,,0.09842450965982845,0.09379684241040048,0.0012007155741309908,0.00036413463747168097,0.560377358490566,0.0,0.11812505696837095,0.00708195379136935,0.04339622641509444,0.01073566667617079,0.06521739130434784,0.04677516118607992,0.12075471698113208,,0.49056603773584906,,0.9828571428571429,0.011428571428571432,11.266059054098209,8.978362008640703,2.287697045457505,11.468363832999998
penguins,small,few_atts,synthpop,0.8580308997330435,0.05453606829735729,0.31978685324363143,,0.28686110543853516,,0.03341967654986523,0.0058530392037516275,0.0,,0.09585951834894155,0.09208950908706741,0.002109343974498429,0.00042307734388432396,0.6471698113207547,0.0,0.016356758727554488,0.005892961940224291,0.05000000000000002,0.01009478045237391,0.06521739130434784,0.03765327842541037,0.05660377358490566,,0.37735849056603776,,0.9771428571428572,0.010690449676496978,11.501577248257302,8.929039128278657,2.572538119978645,0.0115761403333335
titanic,small,few_atts,ctgan,0.17120375332549953,0.17120375332549953,0.3843302748646002,,0.8206819172837009,,0.08353941798941798,0.02034578163596408,0.5,,0.05176540682738819,0.01795015774252484,0.0046520034341353406,0.0005309444404578737,0.6490299823633157,0.0,-0.04374262604147672,0.006067337847287499,0.05251513740102462,0.012089920458788246,0.0362068965517241,0.01875536651963301,0.4109347442680776,,0.27336860670194,,0.9260273972602739,0.014103602932858906,10.082429374464738,7.7365027487365055,2.3459266257282314,265.3922343396667
titanic,small,few_atts,datasynthesizer,0.19251200931803067,0.19251200931803064,0.26053815375517964,,0.3572542476963878,,0.03592665343915344,0.018226983628898113,0.125,,0.008066096175773365,0.0025607179632637033,0.0024071158719398346,0.00040250100634152815,0.5723104056437389,0.0,0.03562062883901973,0.005880691317839748,0.023431920509237758,0.012293869812695592,0.02068965517241378,0.008446516354424762,0.5149911816578483,,0.30511463844797176,,0.9643835616438355,0.006984958237798331,10.555284789963723,8.375394800552398,2.1798899894113246,12.835473124666668
titanic,small,few_atts,synthpop,0.7906967781801788,0.13253080226598588,0.1420009903973983,,0.1452481312738356,,0.01720238095238095,0.00201780833982925,0.0,,0.014066446137335245,0.004521439906808271,0.0009164697033209265,0.00019025601492423037,0.3350970017636684,0.0,0.3160524235236879,0.003919744212986427,0.022966154323862703,0.012621017807116408,0.013793103448275862,0.002815505451474923,0.5784832451499118,,0.5079365079365079,,0.9945205479452055,0.00335546540107286,10.976654190983517,9.373646915538828,1.603007275444687,0.0124044279999999
cervical_cancer,small,some_atts,ctgan,0.07861376284263714,0.07861376284263714,2.765168830501771,,5.7823642745937605,,0.08495070320348255,0.032442061361119184,0.2647058823529412,,0.0849041809584597,0.03933009839072332,0.04059862729641316,0.002278123585836092,0.777988614800759,0.0,-0.07928885120737827,0.005053653293048247,0.009959568733153679,0.007048147441720424,0.028368794326241148,0.021472697546790726,0.03795066413662239,,0.11954459203036052,,0.30140845070422534,0.02117365687094775,11.111912706809253,7.650105264887838,3.4618074419214135,568.053929199
